time,places,tweet
2023-03-21 09:56:40,https://fb.com/iPhonemod,"แนะนำ 6 เกมจับผิดภาพ เล่นเพลิน บน iPhone, iPad https://t.co/jGaFJHvwrI #imod #apple #iphone #ipad"
2023-03-21 09:33:17,,"ปล่อยเคสมินิมอลงานสวยๆ ชิ้นละ 59.- 
ค่าส่ง 20 / 3 ชิ้น ส่งฟรี‼️ สนใจทัก DM ได้เลยนะคะ✨❤️
#เคสไอโฟน #เคสไอโฟน12 #caseiPhone #เคสโทรศัพท์ #สินค้าใหม่ #ถูกและดี #ถูกและดีบอกต่อ #iPhone #iPhone12 #iPhoneมือสอง #ไอโฟน #ไอโฟนราคาถูก https://t.co/5hZzwiI25u"
2023-03-21 08:45:38,"กรุงเทพมหานคร, ประเทศไทย","#ส่งต่อ Apple pencil gen 2 
-ประกันเหลือๆพึ่งซื้อเมื่ออาทิตย์ที่แล้ว16/03/66
 -สภาพดี ไม่มีตำหนิ ใช้งานได้ปกติ เราซื้อมาแทบไม่ได้ใช้เลยเพราะวาดรูปไม่เป็น เรียนก็จบแล้วซื้อมาเฉยๆ😂😂
-3190รวมส่ง #Apple #ApplePencil2 #ipad #ปากกาไอแพด #iphone #applepencil1 https://t.co/thk3dh8Sk9"
2023-03-21 08:34:04,"จ.ขอนแก่น, ประเทศไทย","HUAQOO AirPods Pro Case 🔥พร้อมส่ง! เคส สำหรับ Airpod Pro การ์ตูน ลายเยอะมาก
ราคาสินค้า: ฿99
ส่วนลดสินค้า:  ฿42
https://t.co/uLMWtNWBoh 👈🏻 #มือถือ #เคส #หูฟัง #ลำโพง #iphone #sumsang #สายชาร์จ #แอร์พอด #airpods https://t.co/BjWwd0NklG"
2023-03-21 08:30:16,"กรุงเทพมหานคร, ประเทศไทย","📣 แบบใหม่ แบบสับแหละ! 📱 #iPhone ยื่นสิทธิบัตร หน้าจอพับได้ หากเผลอทำร่วงตก เพื่อป้องกันไม่ให้หน้าจอแตก ซึ่งระบบนี้ถูกเรียกว่า 'Self - retracting display device'
🙏 ขอบคุณข้อมูลจาก &gt;&gt;&gt; thelatch
📍 อ้างอิงข้อมูลจาก &gt;&gt;&gt; https://t.co/6QmiTo8gN9 
#SaleHere #เซลเฮียร์ https://t.co/jfCOkcZJPa"
2023-03-21 08:07:04,,"❤️รีทวิต แจาก 200/3 คน ❤️
ขาย iPhone 11 pro 64g.  แบต 92%         เครื่องใช้เองงับ 💐. ราคา 11000  ไม่มีอุปกรณ์งับ  #iPhoneมือสอง #iPhone #ส่งต่อไอโฟน #ไอโฟนมือสอง #ไอโฟนมือ2 #ไอโฟนมือสองราคาถูก #ขายโทรศัพท์ #iPhone #โทรศัพท์มือสอง #โทรศัพท์มือ2 #ลูกสสเหยียดคนจน #นาราเครปกระเทย https://t.co/hCStUDwIG6"
2023-03-21 07:56:39,https://fb.com/iPhonemod,(ลือ) iPhone 15 Pro Max อาจเป็นสมาร์ตโฟนที่มีขอบจอบางที่สุด! https://t.co/py7aX9Zc0I #imod #apple #iphone #ipad
2023-03-21 06:56:09,https://fb.com/iPhonemod,เปรียบเทียบสเปค Galaxy A54 กับ Galaxy A34 ต่างกันอย่างไร เลือกซื้อรุ่นไหนดี? https://t.co/MXMR834zVS #imod #apple #iphone #ipad
2023-03-21 06:48:29,,"iPhone 12 pro 128GB
สี - ทอง
Model TH/A
สุขภาพแบต 89%
อุปกรณ์ ชุดชาร์จ
ประกันร้าน30 วัน
ราคาน้อง : 28,000฿
#ไอโฟนมือสอง #ipadpro #iPhone14 #ipadpro #iPadgen10 #ไอแพดมือสอง #ไอโฟนมือ2 #โทรศัพท์มือสอง #โทรศัพท์มือ2 #โทรศัพท์ #ไอแพดโปร #iphone https://t.co/wnK7VofjB8"
2023-03-21 06:48:17,,"Iphone 14 plus 128GB
สีม่วง
IMEI - 0885
Model ZP/A
สุขภาพแบต 100%
อุปกรณ์ กล่อง + สายชาร์ท
ประกันศูนย์ถึง 26 มกราคม 2567

ราคาน้อง : 45,000

#ไอโฟนมือสอง #ipadpro #iPhone14 #ipadpro #iPadgen10 #ไอแพดมือสอง #ไอโฟนมือ2 #โทรศัพท์มือสอง #โทรศัพท์มือ2 #โทรศัพท์ #ไอแพดโปร #iphone https://t.co/R3yUHiUXXn"
2023-03-21 06:48:05,,"iPhone 13 128GB

สี - ชมพู
Model TH/A
ประกันร้าน : 30 วัน
สุขภาพแบต 89% 
อุปกรณ์ สายชาร์ท+กล่อง

ราคาน้อง : 29,500฿

#ไอโฟนมือสอง #ipadpro #iPhone14 #ipadpro #iPadgen10 #ไอแพดมือสอง #ไอโฟนมือ2 #โทรศัพท์มือสอง #โทรศัพท์มือ2 #โทรศัพท์ #ไอแพดโปร #iphone https://t.co/cglW3yeZ87"
