tweet_volume,url,query,name,promoted_content
899444,http://twitter.com/search?q=%23MySchoolPresidentOnStageD2,%23MySchoolPresidentOnStageD2,#MySchoolPresidentOnStageD2,
74859,http://twitter.com/search?q=%23CokeMove%E0%B9%84%E0%B8%9B%E0%B8%81%E0%B8%B1%E0%B8%9APPKRIT,%23CokeMove%E0%B9%84%E0%B8%9B%E0%B8%81%E0%B8%B1%E0%B8%9APPKRIT,#CokeMoveไปกับPPKRIT,
89134,http://twitter.com/search?q=%23JeffSaturFirstSoloConcertBKK,%23JeffSaturFirstSoloConcertBKK,#JeffSaturFirstSoloConcertBKK,
39774,http://twitter.com/search?q=%23%E0%B8%94%E0%B8%B1%E0%B8%8A%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%A5%E0%B9%8CGOODDYxMIXXIW,%23%E0%B8%94%E0%B8%B1%E0%B8%8A%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%A5%E0%B9%8CGOODDYxMIXXIW,#ดัชมิลล์GOODDYxMIXXIW,
,http://twitter.com/search?q=%23%E0%B8%AA%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%84%E0%B9%8C%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%97%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3,%23%E0%B8%AA%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%84%E0%B9%8C%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%97%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3,#สวรรค์ประทานพร,
49040,http://twitter.com/search?q=%22JAM+X+THAILANDPOST%22,%22JAM+X+THAILANDPOST%22,JAM X THAILANDPOST,
17955,http://twitter.com/search?q=%22Kem+Hussawee%22,%22Kem+Hussawee%22,Kem Hussawee,
16745,http://twitter.com/search?q=%22Hussawee+So+Cute%22,%22Hussawee+So+Cute%22,Hussawee So Cute,
66762,http://twitter.com/search?q=%22Bright+In+Japan%22,%22Bright+In+Japan%22,Bright In Japan,
13477,http://twitter.com/search?q=%23JeffLiveOnSaturnBKK,%23JeffLiveOnSaturnBKK,#JeffLiveOnSaturnBKK,
