time,places,tweet
2023-03-24 06:02:01,,"[EN] “EXO’ CLOCK” : Invitation Message 🎥

Time only for EXO-L and EXO 🕰
EXO-L, Are you ready?

📆 4/8 SAT 6PM (KST)
📆 4/9 SUN 4PM (KST) https://t.co/B4QZJapcYZ"
2023-03-25 12:02:43,,"Rover with ✨🗝️✨

Tiktok ➫ https://t.co/MQGtvKn0Sd
Reels ➫ https://t.co/EnM1LepWGx

#KAI #카이
#EXO #엑소 #weareoneEXO
#Rover #KAI_Rover
#RoverChallenge
#KEY #키
#SHINee #샤이니"
2023-03-24 06:00:06,,"Beyond LIVE - 2023 EXO FANMEETING ""EXO' CLOCK"" 

📆 4/9 SUN 4PM (KST)
👉 Price 
KOREA: LIVE ONLY ￦44,000/LIVE+ReStreaming ￦49,000
JAPAN: LIVE ONLY 4,400円/LIVE+ReStreaming 4,900円
GLOBAL: LIVE ONLY 40USD/LIVE+ReStreaming 45USD https://t.co/WtKGocV7Li"
2023-03-25 17:33:05,🇲🇾,"the way i stan both exo and tbz and watch boysplanet and love han yujin at the same time, this is so funny https://t.co/TbFznF7W2Z"
2023-03-25 17:33:01,s/her. myday & jars.,ofc he's kai from exo. legend https://t.co/yksDogEpDW
2023-03-25 17:32:53,,fun fact about me is that when i first got into kpop i watched some exo mvs (ofc) and i could not standdddd kai like he made me so mad for no reason 😭 anyway i love him now! i saw him in a video wearing a lil grandpa sweater and building legos and everything changed 🫶
2023-03-25 17:32:52,Album of The Year 👇,"at this point kai might surpass exo monthly listeners, i give it a week https://t.co/voZLfnUbGT"
2023-03-25 17:32:42,"DKI Jakarta, Indonesia","@WORLDMUSICAWARD @weareoneEXO Congrats MR ROVER ❤️👏
#KAI #KIMJONGIN #김종인 #카이 #엑소카이 #엑소 #EXO #KAI_Rover @weareoneEXO"
2023-03-25 17:32:37, ˑ ִ ֗. stay • nctzen ,@itadomito skz e exo
2023-03-24 06:02:01,,"[EN] “EXO’ CLOCK” : Invitation Message 🎥

Time only for EXO-L and EXO 🕰
EXO-L, Are you ready?

📆 4/8 SAT 6PM (KST)
📆 4/9 SUN 4PM (KST) https://t.co/B4QZJapcYZ"
2023-03-25 12:02:43,,"Rover with ✨🗝️✨

Tiktok ➫ https://t.co/MQGtvKn0Sd
Reels ➫ https://t.co/EnM1LepWGx

#KAI #카이
#EXO #엑소 #weareoneEXO
#Rover #KAI_Rover
#RoverChallenge
#KEY #키
#SHINee #샤이니"
2023-03-24 06:00:06,,"Beyond LIVE - 2023 EXO FANMEETING ""EXO' CLOCK"" 

📆 4/9 SUN 4PM (KST)
👉 Price 
KOREA: LIVE ONLY ￦44,000/LIVE+ReStreaming ￦49,000
JAPAN: LIVE ONLY 4,400円/LIVE+ReStreaming 4,900円
GLOBAL: LIVE ONLY 40USD/LIVE+ReStreaming 45USD https://t.co/WtKGocV7Li"
2023-03-25 17:33:05,🇲🇾,"the way i stan both exo and tbz and watch boysplanet and love han yujin at the same time, this is so funny https://t.co/TbFznF7W2Z"
2023-03-25 17:33:01,s/her. myday & jars.,ofc he's kai from exo. legend https://t.co/yksDogEpDW
2023-03-25 17:32:53,,fun fact about me is that when i first got into kpop i watched some exo mvs (ofc) and i could not standdddd kai like he made me so mad for no reason 😭 anyway i love him now! i saw him in a video wearing a lil grandpa sweater and building legos and everything changed 🫶
2023-03-25 17:32:52,Album of The Year 👇,"at this point kai might surpass exo monthly listeners, i give it a week https://t.co/voZLfnUbGT"
2023-03-25 17:32:42,"DKI Jakarta, Indonesia","@WORLDMUSICAWARD @weareoneEXO Congrats MR ROVER ❤️👏
#KAI #KIMJONGIN #김종인 #카이 #엑소카이 #엑소 #EXO #KAI_Rover @weareoneEXO"
2023-03-25 17:32:37, ˑ ִ ֗. stay • nctzen ,@itadomito skz e exo
2023-03-25 14:59:18,EXOPLANET✨,"Happy Birthday to our dearest #XIUMIN 💕

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing
@weareoneEXO https://t.co/rDPAWHhza1"
2023-03-25 14:59:18,,"@oshcutemaknae HAPPY BIRTHDAY XIUMIN ❄️

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing #EXO #XIUMIN
@weareoneEXO"
2023-03-25 14:59:18,Republic of Korea,"@u_han94 HAPPY BIRTHDAY XIUMIN

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing
#EXO #XIUMIN @weareoneEXO u"
2023-03-25 14:59:17,EXO PLANET,"@jstkaigrlz HAPPY BIRTHDAY XIUMIN

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing
#EXO #XIUMIN @weareoneEXO"
2023-03-25 14:59:15,614,"@chanbaekyey HAPPY BIRTHDAY XIUMIN

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing
#EXO #XIUMIN @weareoneEXO"
2023-03-25 14:59:15,,"Happy Birthday MOTHER

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing
#EXO #XIUMIN https://t.co/GCk1UuVG3G"
2023-03-25 14:59:14,exo-l only,"@xiuwuw HAPPY BIRTHDAY XIUMIN ❄️

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing
#XIUMIN #시우민
#EXO @weareoneEXO"
2023-03-25 14:59:13,,"@abcdesrswxyz @weareoneEXO HAPPY BIRTHDAY XIUMIN 

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing"
2023-03-25 14:59:10,EXO PLANET,"HAPPY BIRTHDAY OUR ACE XIUMIN♥️

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing
#EXO #XIUMIN @weareoneEXO https://t.co/HrYu1vBODw"
2023-03-25 14:59:09,EXO PLANET,"@dkygsoo HAPPY BIRTHDAY XIUMIN

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing
#EXO #XIUMIN @weareoneEXO"
2023-03-25 14:59:09,📌dimana mana hatiku senang ,"@u_han94 HAPPY BIRTHDAY XIUMIN 

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing
#XIUMIN #시우민
#EXO #엑소 @weareoneEXO"
2023-03-25 14:59:06,,Every idol doing rover except exo themselves 😔💔 heart been broken
2023-03-25 14:59:05,EXO PLANET,"@oshcutemaknae HAPPY BIRTHDAY XIUMIN

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing
#EXO #XIUMIN @weareoneEXO"
2023-03-25 14:59:03,,"@aeribase HAPPY BIRTHDAY XIUMIN 

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing"
2023-03-25 14:59:02,EXO Planet,"@EXO_KLMvoting @weareoneEXO HAPPY XIUMIN DAY❄️

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing
#시우민 #XIUMIN
@weareoneEXO"
2023-03-25 14:59:18,EXOPLANET✨,"Happy Birthday to our dearest #XIUMIN 💕

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing
@weareoneEXO https://t.co/rDPAWHhza1"
2023-03-25 14:59:18,,"@oshcutemaknae HAPPY BIRTHDAY XIUMIN ❄️

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing #EXO #XIUMIN
@weareoneEXO"
2023-03-25 14:59:18,Republic of Korea,"@u_han94 HAPPY BIRTHDAY XIUMIN

#HAPPYXIUMINDAY
#요정킹시우민_생일축하해
#XHBD_FairyKing
#EXO #XIUMIN @weareoneEXO u"
