time,places,tweet
2023-03-15 15:00:01,,"#JISOO VISUAL FILM #1 

FIRST SINGLE ALBUM [ME]
✅2023.03.31 12AM (EDT)&amp;1PM (KST)

🎬YouTube: https://t.co/X1hW3WE49q

#JISOO #지수 #BLACKPINK #블랙핑크 #FIRSTSINGLEALBUM #ME #VISUALFILM #20230331_12amEDT #20230331_1pmKST #RELEASE #YG https://t.co/NRicvFLUE2"
2023-03-15 15:00:01,,"#JISOO VISUAL FILM #1 

FIRST SINGLE ALBUM [ME]
✅2023.03.31 12AM (EDT)&amp;1PM (KST)

🎬YouTube: https://t.co/X1hW3WE49q

#JISOO #지수 #BLACKPINK #블랙핑크 #FIRSTSINGLEALBUM #ME #VISUALFILM #20230331_12amEDT #20230331_1pmKST #RELEASE #YG https://t.co/NRicvFLUE2"
time,places,tweet
2023-03-21 15:00:22,,"#JISOO VISUAL FILM #2

FIRST SINGLE ALBUM [ME]
✅2023.03.31 12AM (EDT)&amp;1PM (KST)

🎬YouTube: https://t.co/J6DfswF0uE

#JISOO #지수 #BLACKPINK #블랙핑크 #FIRSTSINGLEALBUM #ME #TITLE #꽃 #FLOWER #VISUALFILM #20230331_12amEDT #20230331_1pmKST #RELEASE #YG https://t.co/ttfMxD9Up3"
2023-03-20 15:00:01,,"#JISOO CONCEPT POSTER #1

#JISOO #지수 #BLACKPINK #블랙핑크 #FIRSTSINGLEALBUM #ME #TITLE #꽃 #FLOWER #20230331_12amEDT #20230331_1pmKST #RELEASE #YG https://t.co/h56lU4lN3V"
2023-03-20 15:00:22,"Seoul, Korea","#JISOO CONCEPT POSTER #1

FIRST SINGLE ALBUM [ME]
✅2023.03.31 12AM (EDT) &amp; 1PM (KST)

#지수 #BLACKPINK #블랙핑크 #FIRSTSINGLEALBUM #ME #TITLE #꽃 #FLOWER #20230331_12amEDT #20230331_1pmKST #RELEASE #YG https://t.co/WAZGIGpwlg"
2023-03-21 17:12:42,,"@jisoosongwriter @YouTube JISOO 2ND VISUAL FILM 
#MEin9Days"
2023-03-21 17:12:42,,"@BLACKPINKGLOBAL @BLACKPINK JISOO 2ND VISUAL FILM 
#MEin9Days #FLOWER #JISOO 
@BLACKPINK"
2023-03-21 17:12:42,Worldwide,"[UCC] #JISOO's 'ME' Becomes the Most Pre-ordered Female K-pop Solo Album in history, Surpassing 950,000 Worldwide Pre-Orders https://t.co/IxWwWLOqEA"
2023-03-21 17:12:40,,"@AboutMusicYT @fankimjisoo1403 JISOO 2ND VISUAL FILM 
#MEin9Days #FLOWER #JISOO @BLACKPINK"
2023-03-21 17:12:40,,"@UpdateKGirls JISOO 2ND VISUAL FILM 
#MEin9Days #FLOWER #JISOO 
@BLACKPINK"
2023-03-21 17:12:39,,"@kchooya JISOO 2ND VISUAL FILM 
#MEin9Days #FLOWER #JISOO"
2023-03-21 15:00:22,,"#JISOO VISUAL FILM #2

FIRST SINGLE ALBUM [ME]
✅2023.03.31 12AM (EDT)&amp;1PM (KST)

🎬YouTube: https://t.co/J6DfswF0uE

#JISOO #지수 #BLACKPINK #블랙핑크 #FIRSTSINGLEALBUM #ME #TITLE #꽃 #FLOWER #VISUALFILM #20230331_12amEDT #20230331_1pmKST #RELEASE #YG https://t.co/ttfMxD9Up3"
2023-03-20 15:00:01,,"#JISOO CONCEPT POSTER #1

#JISOO #지수 #BLACKPINK #블랙핑크 #FIRSTSINGLEALBUM #ME #TITLE #꽃 #FLOWER #20230331_12amEDT #20230331_1pmKST #RELEASE #YG https://t.co/h56lU4lN3V"
2023-03-20 15:00:22,"Seoul, Korea","#JISOO CONCEPT POSTER #1

FIRST SINGLE ALBUM [ME]
✅2023.03.31 12AM (EDT) &amp; 1PM (KST)

#지수 #BLACKPINK #블랙핑크 #FIRSTSINGLEALBUM #ME #TITLE #꽃 #FLOWER #20230331_12amEDT #20230331_1pmKST #RELEASE #YG https://t.co/WAZGIGpwlg"
2023-03-21 17:12:42,,"@jisoosongwriter @YouTube JISOO 2ND VISUAL FILM 
#MEin9Days"
