time,places,tweet
2023-03-12 11:29:12,Inu Igbo Irunmole ,@Jas_jannie The GOAT
2023-03-12 11:27:49,Holwert,@IngeZwerver Superrr♡
2023-03-12 11:20:21,Holwert,"@WereldVanSara That was yesterday 🫠😉😍, today its better than tommorow😃😄"
2023-03-12 11:14:43,,i mean the guy calls himself the world's greatest jannie what did you expect https://t.co/Il3e4X8Cle https://t.co/4SXCcAsmL0
2023-03-12 11:09:56,Holwert,@jeanette_66 Ook schitterend Jeanette!
2023-03-12 10:59:27,London,@ClassicalXOvr4U @joannaforest @CalonFM Thank you Jannie. That was such a beautiful and memorable event. Xx @joannaforest 💕@ClassicalXOvr4U 💕
2023-03-12 10:40:02,"Lagos, Nigeria",@nutayobami Thank you
2023-03-12 10:33:49,United Kingdom,"@Jas_jannie Well the waste source was our soak away which was directly at the back of the lab, you can look up more about the set up tools online."
2023-03-12 09:52:43,"Lagos, Nigeria","@nutayobami This is interesting.
Do you have any idea on how this biogas set up works?
I will love to enquire more information from you. Can I send you a dm?"
2023-03-12 09:41:36,"Lagos, Nigeria",King of all the Irons https://t.co/ONRb0AJ3hI
2023-03-12 08:09:59,USA,"@1CaressiveSoul @810100jn Beautiful picture Jannie
Thank you for the message 👏🎶❤️❤️🙌🙌🤗👍✝️🛐🙏🌹🥰❣️"
2023-03-12 08:00:18,"Lincoln, England","@ClassicalXOvr4U Hi Jannie, WOW it really is true. You are loved all over the world!!! Lots of love and hugs xxxx❤️"
2023-03-12 07:12:54,,@Tamsmith_46 @kuhlmama41 @libs1709 @donutsdebsdibs @EvansNicolina @OlgaNVF @katiemusher @pagano_marcella @Debbie54501576 @thierryiverson @angelazulv @hoggard_sharon @EneverRach @BarbaraHeathco2 @cosmobaby21 @lucydufty @SaydaMurillo7 @PaolaCalcaterra @PattiLipscomb Beautiful photo Michael 🙏🏼❤️🇳🇱
2023-03-12 07:03:25,"Seattle, WA",@LinimentCake @JohnathanPerk Spot on
2023-03-12 05:20:40,jannie & mahie lomls 🫶🏾,jannie's already making my day better
2023-03-12 05:02:36,shit'n on lame niggas ,Support AstroBoy !🚀 @JosefinaMcdan19 @SexMeUpBieber @LorindaMaranvi1 @luhong48491378 @MMaherajkhan @mmanujames @dakopha @hoatdo2166 @anhvnguyen1494 @targitei @jannie_cuevas @ShinaC03 @Bj24774446 @LaraaBoiziot @kn_roberts @DustinMorow https://t.co/vGwxhy19hx
2023-03-12 04:48:14,"Illinois, USA",@810100jn @TBV_Post Happy Saturday Jannie love ❤️ 💐
2023-03-12 03:44:18,"New York, USA",@iamspeakingnow I detest him &amp; truly hope he is just acting for the camera.
2023-03-12 03:39:15,"New York, USA","@90Leaks From one woman to another, if u r dating a brother &amp; u have to convince him to sleep with u, unless he’s a preacher, priest, rabbi, etc, he is probably not genuinely interested.  Just playing an angle.  Brothers have healthy appetites."
2023-03-12 03:38:20,,"@ClassicalXOvr4U Have a very super fantastic weekend, Phenomenal Legend Jannie"
2023-03-12 03:36:36,"New York, USA","@90Leaks Good luck Kimberly &amp; this time, date someone closer to your age &amp; don’t want kids."
2023-03-12 03:25:17,NWF,the distance between a Jannie and Criminal Informant 🧀🐀 is practically nil in my mind.
2023-03-12 01:23:42,USA,@810100jn Blessings Jannie! Have a wonderful evening! 😇🙋🏻‍♀️🤍💗
2023-03-12 00:43:51,"Jacksonville, AL",@AZ_Brittney Absolutely not the best speaker. She was always disrespectful and caused trouble.
2023-03-12 00:38:54,"Jacksonville, AL",@charliekirk11 Jane Fonda is a sick person. What if someone had said that about her beliefs and things she has done.
2023-03-12 00:33:39,"Jacksonville, AL",@Synchro2021 I think we have given enough money. Our country is in need.
2023-03-12 00:31:42,"Jacksonville, AL","@DailyNoahNews If he is the Republican choice, I most certainly wii vote for him."
2023-03-12 00:30:02,"Jacksonville, AL",@Franklin_Graham Hopefully daylight time will change for good. I believe and trust God but it is time for a change.
2023-03-12 00:26:00,"Jacksonville, AL",@chuckwoolery We know she was the that had a lot to do with it but nothing will ever be done about it.
2023-03-12 00:22:53,"Jacksonville, AL",@AZ_Brittney I do not like what he has done to our country. His whole family is crooked and needs to be in prison.
2023-03-12 00:20:28,"Jacksonville, AL",@chuckwoolery I love no respect for him. He made our country worse.
2023-03-11 23:21:18,"Montreal, QC","@stefaniei @picardonhealth @arianapeca2 As I learned in a graduate epidemiology class, more men die WITH prostate cancer than OF prostate cancer."
2023-03-11 22:37:43,Boynton Beach FL via Lorain OH,@jrrbusby Thank you Jannie! Enjoy your weekend!! ☺️
2023-03-11 22:30:21,,"Get access to my private videos.
👇👇👇
https://t.co/kWalusWUdw"
2023-03-11 21:51:35,,@jrrbusby Thank you Jannie!
2023-03-11 21:37:44,"Factoryville, PA","@turpywurpy @joancal51 @squeezyjohn @m_i_kes @Palomafaith @RishiSunak The avoidance is the answer for our Janette.😎

She went for it and then shat herself completely 🤭

Her avoidance has a function. And she knows, and Jannie love we both know why, our littler shared secret 👍"
2023-03-11 21:35:40,,@jrrbusby Good job Jannie.
2023-03-11 21:02:32,,@jrrbusby Thanks Jannie.
2023-03-11 19:32:27,"Federal Capital Territory, Nig",@Jas_jannie @Tianney Thanks sis 👍
2023-03-11 19:13:01,"Idaho, USA",@KurtSchlichter @AdamKinzinger @AdamKinzinger thinks he’s a Fella but he’s a jannie.
2023-03-11 18:51:06,,@libsofye Why are you acting like a Jannie? This is female behavior lol
2023-03-11 18:10:20,,"@Nick121996 @TPBlue4 @mikecleere @jannie_jones95 Churches create accounts. You can see where the money goes. If not, or you have concerns about what the church is doing, then don't give to it."
2023-03-11 17:35:12,,@DaveCorby4 @TPBlue4 @mikecleere @jannie_jones95 Because I’d rather have the people that decide what a good cause is be accountable to the public and not pocketing a bunch of money themselves. I have no doubt some churches do put all donations back to good causes but I also have no doubt that many don’t and should be taxed
2023-03-12 11:29:12,Inu Igbo Irunmole ,@Jas_jannie The GOAT
2023-03-12 11:27:49,Holwert,@IngeZwerver Superrr♡
2023-03-12 11:20:21,Holwert,"@WereldVanSara That was yesterday 🫠😉😍, today its better than tommorow😃😄"
2023-03-12 11:14:43,,i mean the guy calls himself the world's greatest jannie what did you expect https://t.co/Il3e4X8Cle https://t.co/4SXCcAsmL0
2023-03-12 11:09:56,Holwert,@jeanette_66 Ook schitterend Jeanette!
2023-03-12 10:59:27,London,@ClassicalXOvr4U @joannaforest @CalonFM Thank you Jannie. That was such a beautiful and memorable event. Xx @joannaforest 💕@ClassicalXOvr4U 💕
2023-03-12 10:40:02,"Lagos, Nigeria",@nutayobami Thank you
2023-03-12 10:33:49,United Kingdom,"@Jas_jannie Well the waste source was our soak away which was directly at the back of the lab, you can look up more about the set up tools online."
2023-03-12 09:52:43,"Lagos, Nigeria","@nutayobami This is interesting.
Do you have any idea on how this biogas set up works?
I will love to enquire more information from you. Can I send you a dm?"
2023-03-12 09:41:36,"Lagos, Nigeria",King of all the Irons https://t.co/ONRb0AJ3hI
2023-03-12 08:09:59,USA,"@1CaressiveSoul @810100jn Beautiful picture Jannie
Thank you for the message 👏🎶❤️❤️🙌🙌🤗👍✝️🛐🙏🌹🥰❣️"
2023-03-12 08:00:18,"Lincoln, England","@ClassicalXOvr4U Hi Jannie, WOW it really is true. You are loved all over the world!!! Lots of love and hugs xxxx❤️"
2023-03-12 07:12:54,,@Tamsmith_46 @kuhlmama41 @libs1709 @donutsdebsdibs @EvansNicolina @OlgaNVF @katiemusher @pagano_marcella @Debbie54501576 @thierryiverson @angelazulv @hoggard_sharon @EneverRach @BarbaraHeathco2 @cosmobaby21 @lucydufty @SaydaMurillo7 @PaolaCalcaterra @PattiLipscomb Beautiful photo Michael 🙏🏼❤️🇳🇱
2023-03-12 07:03:25,"Seattle, WA",@LinimentCake @JohnathanPerk Spot on
2023-03-12 05:20:40,jannie & mahie lomls 🫶🏾,jannie's already making my day better
2023-03-12 05:02:36,shit'n on lame niggas ,Support AstroBoy !🚀 @JosefinaMcdan19 @SexMeUpBieber @LorindaMaranvi1 @luhong48491378 @MMaherajkhan @mmanujames @dakopha @hoatdo2166 @anhvnguyen1494 @targitei @jannie_cuevas @ShinaC03 @Bj24774446 @LaraaBoiziot @kn_roberts @DustinMorow https://t.co/vGwxhy19hx
2023-03-12 04:48:14,"Illinois, USA",@810100jn @TBV_Post Happy Saturday Jannie love ❤️ 💐
2023-03-12 03:44:18,"New York, USA",@iamspeakingnow I detest him &amp; truly hope he is just acting for the camera.
2023-03-12 03:39:15,"New York, USA","@90Leaks From one woman to another, if u r dating a brother &amp; u have to convince him to sleep with u, unless he’s a preacher, priest, rabbi, etc, he is probably not genuinely interested.  Just playing an angle.  Brothers have healthy appetites."
2023-03-12 03:38:20,,"@ClassicalXOvr4U Have a very super fantastic weekend, Phenomenal Legend Jannie"
2023-03-12 03:36:36,"New York, USA","@90Leaks Good luck Kimberly &amp; this time, date someone closer to your age &amp; don’t want kids."
2023-03-12 03:25:17,NWF,the distance between a Jannie and Criminal Informant 🧀🐀 is practically nil in my mind.
2023-03-12 01:23:42,USA,@810100jn Blessings Jannie! Have a wonderful evening! 😇🙋🏻‍♀️🤍💗
2023-03-12 00:43:51,"Jacksonville, AL",@AZ_Brittney Absolutely not the best speaker. She was always disrespectful and caused trouble.
2023-03-12 00:38:54,"Jacksonville, AL",@charliekirk11 Jane Fonda is a sick person. What if someone had said that about her beliefs and things she has done.
2023-03-12 00:33:39,"Jacksonville, AL",@Synchro2021 I think we have given enough money. Our country is in need.
2023-03-12 00:31:42,"Jacksonville, AL","@DailyNoahNews If he is the Republican choice, I most certainly wii vote for him."
2023-03-12 00:30:02,"Jacksonville, AL",@Franklin_Graham Hopefully daylight time will change for good. I believe and trust God but it is time for a change.
2023-03-12 00:26:00,"Jacksonville, AL",@chuckwoolery We know she was the that had a lot to do with it but nothing will ever be done about it.
2023-03-12 00:22:53,"Jacksonville, AL",@AZ_Brittney I do not like what he has done to our country. His whole family is crooked and needs to be in prison.
2023-03-12 00:20:28,"Jacksonville, AL",@chuckwoolery I love no respect for him. He made our country worse.
2023-03-11 23:21:18,"Montreal, QC","@stefaniei @picardonhealth @arianapeca2 As I learned in a graduate epidemiology class, more men die WITH prostate cancer than OF prostate cancer."
2023-03-11 22:37:43,Boynton Beach FL via Lorain OH,@jrrbusby Thank you Jannie! Enjoy your weekend!! ☺️
2023-03-11 22:30:21,,"Get access to my private videos.
👇👇👇
https://t.co/kWalusWUdw"
2023-03-11 21:51:35,,@jrrbusby Thank you Jannie!
2023-03-11 21:37:44,"Factoryville, PA","@turpywurpy @joancal51 @squeezyjohn @m_i_kes @Palomafaith @RishiSunak The avoidance is the answer for our Janette.😎

She went for it and then shat herself completely 🤭

Her avoidance has a function. And she knows, and Jannie love we both know why, our littler shared secret 👍"
2023-03-11 21:35:40,,@jrrbusby Good job Jannie.
2023-03-11 21:02:32,,@jrrbusby Thanks Jannie.
2023-03-11 19:32:27,"Federal Capital Territory, Nig",@Jas_jannie @Tianney Thanks sis 👍
2023-03-11 19:13:01,"Idaho, USA",@KurtSchlichter @AdamKinzinger @AdamKinzinger thinks he’s a Fella but he’s a jannie.
2023-03-11 18:51:06,,@libsofye Why are you acting like a Jannie? This is female behavior lol
2023-03-11 18:10:20,,"@Nick121996 @TPBlue4 @mikecleere @jannie_jones95 Churches create accounts. You can see where the money goes. If not, or you have concerns about what the church is doing, then don't give to it."
2023-03-11 17:35:12,,@DaveCorby4 @TPBlue4 @mikecleere @jannie_jones95 Because I’d rather have the people that decide what a good cause is be accountable to the public and not pocketing a bunch of money themselves. I have no doubt some churches do put all donations back to good causes but I also have no doubt that many don’t and should be taxed
2023-03-11 14:12:13,"Abuja, Nigeria","@Jas_jannie @kunle_kenny Not just you darling 
I think it's poor connection"
2023-03-11 14:11:31,"Lagos, Nigeria",@kunle_kenny Am I the only that's is finding it difficult to hear him?
2023-03-11 14:04:58,hokkaido,Biden is the shitposter and Powell is the jannie
2023-03-11 13:49:05,,@Jgwazzman @Harpootlian4SC No.  He is guilty.   He has been guilty since the day he left work and told Jannie that he was going to see his dying dad. He was planning to murder them when he left and that’s why he didn’t go see his dad #guilty
2023-03-11 13:20:07,"London, England",@Janineplenty1 When the shoe fits or the narrative needs to change to fit the line being towed Jannie.
2023-03-11 11:09:20,"Lagos, Nigeria","@adesoji_ii Catfish 🙄🙄🙄... Anyways, it's your choice but eww 😵"
2023-03-11 11:04:53,"Lagos, Nigeria",I'm #TeamGoatmeat peppersoup all the way! What team are you on? #GTCOFoodDrink
2023-03-11 10:42:24,,eleanor jannie - the beatles https://t.co/sxIPJLpWz8
2023-03-11 10:39:11,LLC under Millie/MillicentHoll,@RickeySmiley Miss Jannie ass crack is retired because her ass isn't wearing them pant's right
2023-03-11 09:30:20,"Bronx, NY",@RickeySmiley Ladies night! Ms. Jannie live your Best Life ❤️
2023-03-11 08:36:35,,@810100jn @emmanuelobi476 @johns20014 @MimiLovesJesus5 @mimiloveletter @elliesangelwing @intrinsictweets @RoseAmeli1 @FBosschart @FREEBetsyB @Aidan52420511 @Ccangelsing @GaryPankow @DavidPr70117773 @abothamer_mm @maria_dannat @JLU_2016 @91Psalms123 @EllahieCooking @AsiimweGeofre17 @Antonel31937982 @savebygrace71 @GabrielleMary55 @GregPettys2 @DanComp02107462 @PamGibs64104547 @bibleartgifts @JuliannebyGrace @NathanRaySollis @Mary39800280 @Cathyrkay @great0727 @beverlyfelix3 @MyBlessedHope1 @carole_awebb @IIIDeaton @JW_Branding @HannahY56567625 @PerfectingTruth @Believer037 @RevLDReed @ledrew @Crystal71751706 @jlshine5 @elosisofficial @speedprayers @CabanissJimmy @Jimcabaniss1013 @DavidTSummers3 @Stewart7Donna AMEN SWEET JANNIE 🌈🌹🙏🕊
2023-03-11 08:25:02,"Lagos, Nigeria","~ I will be successful in life.
~ I will get a system before the end of next week.
~ Favour will be the response or reaction to every eyes that behold me.
~ Joy will not cease from my household https://t.co/xG4LCw3WTE"
2023-03-11 07:55:33,"Lagos, Nigeria","@realdanielemeka Someone said that the US govt. might come to the aid of all Silicon Valley Bank depositor... What do you think about that?

In case anyone need more clarification on the SVB issue. You can read up on this article.
https://t.co/08EmyO8DRR"
2023-03-11 07:39:15,"Lagos, Nigeria","@realdanielemeka It's shocking
SVB went from the best bank to the opposite."
2023-03-11 07:04:29,,"@Jas_jannie @kunle_kenny Yes dear, because how can someone explain 5 different accidents in one state, in a single day.
There are definitely forces behind it."
2023-03-11 06:42:16,"Lagos, Nigeria",@keenwizzy @kunle_kenny I thought of this when I read the news.
2023-03-11 04:10:04,Michigan -Americas third coast,@jannie_jones95 Has he answered you back yet ? That's what I thought. https://t.co/HKH1clC9ct
2023-03-11 04:05:19,Milkyway,@jannie_tweets @mbindwane Is she God?
2023-03-11 02:30:45,"Asuncion, Paraguay","New video ok YT
https://t.co/EYxejcTPKE https://t.co/tTiSIuW1hI"
2023-03-11 02:26:14,"Asuncion, Paraguay",@_Maka_11 Opaline has finale become the fire alicorn 😎
2023-03-11 02:02:16,,@AbbyJohnson She's a vile human being!
2023-03-11 02:01:31,,@MelissaFoersch1 @AbbyJohnson This only eggs the left on towards the violence they do.
2023-03-11 00:53:18,Greenville SC,@RickeySmiley I love me some Ms Jannie! She can touch her toes and I can't touch my knee cap at 56 LMAO! So glad to see she up having fun. Peace and much Love ❤️
2023-03-11 00:14:46,Grinding,"OMG! look!

@Metacash4,@Augustti22,@KLiKdetik,@38b718bc59144cc,@Liule93774519,@Hemel461131,@TeouE,@FatolaAbdullahi,@vs96811,@SerhiiVorushylo,@kathijabi12,@jannie_oioi https://t.co/s2MFpzsnzW"
2023-03-11 14:12:13,"Abuja, Nigeria","@Jas_jannie @kunle_kenny Not just you darling 
I think it's poor connection"
2023-03-11 14:11:31,"Lagos, Nigeria",@kunle_kenny Am I the only that's is finding it difficult to hear him?
2023-03-11 14:04:58,hokkaido,Biden is the shitposter and Powell is the jannie
2023-03-11 13:49:05,,@Jgwazzman @Harpootlian4SC No.  He is guilty.   He has been guilty since the day he left work and told Jannie that he was going to see his dying dad. He was planning to murder them when he left and that’s why he didn’t go see his dad #guilty
2023-03-11 13:20:07,"London, England",@Janineplenty1 When the shoe fits or the narrative needs to change to fit the line being towed Jannie.
2023-03-11 11:09:20,"Lagos, Nigeria","@adesoji_ii Catfish 🙄🙄🙄... Anyways, it's your choice but eww 😵"
2023-03-11 11:04:53,"Lagos, Nigeria",I'm #TeamGoatmeat peppersoup all the way! What team are you on? #GTCOFoodDrink
2023-03-11 10:42:24,,eleanor jannie - the beatles https://t.co/sxIPJLpWz8
2023-03-11 10:39:11,LLC under Millie/MillicentHoll,@RickeySmiley Miss Jannie ass crack is retired because her ass isn't wearing them pant's right
2023-03-11 09:30:20,"Bronx, NY",@RickeySmiley Ladies night! Ms. Jannie live your Best Life ❤️
