time,places,tweet
time,places,tweet
2023-03-20 01:30:32,Singapore,Blackpink’s Lisa is the Asian star who took the shortest time to hit 90 million followers on Instagram https://t.co/pRLyRS9xds
2023-03-20 08:40:03,QR Empire,"[AD Proof]
#LISA #BLACKPINK Support-Fans

""HAPPY BIRTHDAY LISA""

Ad Location: Outdoor LED Screen Mall of Indonesia, Jakarta
Ad Period: March 20- April 2, 2023 (start 6AM GMT+7)

#Queeri #Queeri_Vote #LISA #BLACKPINK https://t.co/pMWRsaNiYz https://t.co/D4dD7rBonI"
2023-03-20 01:30:06,India ,Throwback to #Lisa's hottest looks from #Blackpink’s single Pink Venom https://t.co/VeVBq0QJAf https://t.co/I7EIMQB9Qc
2023-03-21 09:14:12,"Sydney, Australia","@schipper_lisa Put out every coal fire... 
https://t.co/5z6AiZCILl #example
#TwiterAcademic #NilEmissions #SolidOxides #AussieIP
Ten years lobbying... https://t.co/TPtlgrhmBb"
2023-03-21 09:14:10,,i literally have lisas body shape yall its so embarassing ppl keep telling me i look like lisa smh 😩😩
2023-03-21 09:13:59,"Pennsylvania, USA",@lisahsmithlhs Good morning Lisa. I have a swim spa trainer (has a swim jet) and it's a hot tub..🤣
2023-03-21 09:13:48,,Burke Austen Lisa Jenkin(s) #北京资源 #北京 Wright Turner https://t.co/IAJ1IN5yal
2023-03-21 09:13:45,,Gordon Bowman Rod Burke Lisa David #北京丝足 #北京 https://t.co/yFT0H1e1A4
2023-03-21 09:13:32,#Lisa #Lalisa #KatyPerry,"The BP concert in the PH is gon be super spectacular coz it's #Lisa's bday on the 27th, she'll gon gift the fans with superior performance"
2023-03-21 09:13:24,,I'll keep an eye on you.
2023-03-20 01:30:32,Singapore,Blackpink’s Lisa is the Asian star who took the shortest time to hit 90 million followers on Instagram https://t.co/pRLyRS9xds
2023-03-20 08:40:03,QR Empire,"[AD Proof]
#LISA #BLACKPINK Support-Fans

""HAPPY BIRTHDAY LISA""

Ad Location: Outdoor LED Screen Mall of Indonesia, Jakarta
Ad Period: March 20- April 2, 2023 (start 6AM GMT+7)

#Queeri #Queeri_Vote #LISA #BLACKPINK https://t.co/pMWRsaNiYz https://t.co/D4dD7rBonI"
2023-03-20 01:30:06,India ,Throwback to #Lisa's hottest looks from #Blackpink’s single Pink Venom https://t.co/VeVBq0QJAf https://t.co/I7EIMQB9Qc
2023-03-21 09:14:12,"Sydney, Australia","@schipper_lisa Put out every coal fire... 
https://t.co/5z6AiZCILl #example
#TwiterAcademic #NilEmissions #SolidOxides #AussieIP
Ten years lobbying... https://t.co/TPtlgrhmBb"
2023-03-21 09:14:10,,i literally have lisas body shape yall its so embarassing ppl keep telling me i look like lisa smh 😩😩
2023-03-21 09:13:59,"Pennsylvania, USA",@lisahsmithlhs Good morning Lisa. I have a swim spa trainer (has a swim jet) and it's a hot tub..🤣
2023-03-21 09:13:48,,Burke Austen Lisa Jenkin(s) #北京资源 #北京 Wright Turner https://t.co/IAJ1IN5yal
2023-03-21 09:13:45,,Gordon Bowman Rod Burke Lisa David #北京丝足 #北京 https://t.co/yFT0H1e1A4
2023-03-21 09:13:32,#Lisa #Lalisa #KatyPerry,"The BP concert in the PH is gon be super spectacular coz it's #Lisa's bday on the 27th, she'll gon gift the fans with superior performance"
2023-03-21 09:13:24,,I'll keep an eye on you.
2023-03-21 06:40:04,,"CONGRATULATIONS 💐 to all old and new member that register with us and BOOM 💥 ALWAYS both lunchtime and teatime.
Stop wasting your time. You have meet your help today. REGISTER with us today and started BOOMIN always and be among the successful richest person in your society https://t.co/u9qx3Irr20"
2023-03-21 06:40:03,"Vancouver, Canada","@lisa_iannattone Meanwhile some celebs talk about this issue and continue to have their many trips in private jets, live in massive mansions, use excessive water, electricity without a thought to their own imprint on contributing to climate change."
2023-03-21 06:39:46,,"CONGRATULATIONS 💐 to all old and new member that register with us and BOOM 💥 ALWAYS both lunchtime and teatime.
Stop wasting your time. You have meet your help today. REGISTER with us today and started BOOMIN always and be among the successful richest person in your society https://t.co/1GGNO0Gi9u"
2023-03-21 06:39:39,,#ROSÉ’s “Jiggle Jiggle” on her TikTok account becomes the first video by a K-Pop act to surpass 30 MILLION likes on TikTok! She did the dance with #LISA and #JENNIE. https://t.co/dX0cKD71BP
2023-03-21 06:39:38,lebanon,"@LaliceUpdates Done for my girl
#LISA #LALISA #MONEY #SG https://t.co/9Vtr9jts6i"
2023-03-21 06:39:36,,"CONGRATULATIONS 💐 to all old and new member that register with us and BOOM 💥 ALWAYS both lunchtime and teatime.
Stop wasting your time. You have meet your help today. REGISTER with us today and started BOOMIN always and be among the successful richest person in your society https://t.co/f16AJ7xTfW"
2023-03-21 06:39:35,,@privilage_js_ @BLACKPINKGLOBAL @BLACKPINK Sje isn't like lisa. She likes to brag and she comes to weverse jz wait
2023-03-21 06:39:33,"Melbourne, Victoria","@LisaAnnese @DivCouncilAus Well done Lisa.

We need more diverse Women in Leadership in this country to ensure we get the best leadership we can - the data shows that Women of all backgrounds are uniquely suited to being leaders - Women dominate on Key Leadership Skills generally.

#FutureisFeminist https://t.co/WGfjQFRMp7"
2023-03-21 06:39:32,,"""...I'm surprised. I'm very surprised. Oh what. I'm supposed to be dead? Me. Who's fault is it? Lisa? It's Lisa.""-1934娑婆Christopher"
2023-03-21 06:39:30,SuttieButtieButtHole Lane,@sjcfour20 @RealHW101 Did Lisa buy the tape from Frank or offer to…so it wouldn’t get out…rite?
2023-03-21 06:40:04,,"CONGRATULATIONS 💐 to all old and new member that register with us and BOOM 💥 ALWAYS both lunchtime and teatime.
Stop wasting your time. You have meet your help today. REGISTER with us today and started BOOMIN always and be among the successful richest person in your society https://t.co/u9qx3Irr20"
2023-03-21 06:40:03,"Vancouver, Canada","@lisa_iannattone Meanwhile some celebs talk about this issue and continue to have their many trips in private jets, live in massive mansions, use excessive water, electricity without a thought to their own imprint on contributing to climate change."
2023-03-21 06:39:46,,"CONGRATULATIONS 💐 to all old and new member that register with us and BOOM 💥 ALWAYS both lunchtime and teatime.
Stop wasting your time. You have meet your help today. REGISTER with us today and started BOOMIN always and be among the successful richest person in your society https://t.co/1GGNO0Gi9u"
2023-03-21 06:39:39,,#ROSÉ’s “Jiggle Jiggle” on her TikTok account becomes the first video by a K-Pop act to surpass 30 MILLION likes on TikTok! She did the dance with #LISA and #JENNIE. https://t.co/dX0cKD71BP
2023-03-21 06:39:38,lebanon,"@LaliceUpdates Done for my girl
#LISA #LALISA #MONEY #SG https://t.co/9Vtr9jts6i"
2023-03-21 06:39:36,,"CONGRATULATIONS 💐 to all old and new member that register with us and BOOM 💥 ALWAYS both lunchtime and teatime.
Stop wasting your time. You have meet your help today. REGISTER with us today and started BOOMIN always and be among the successful richest person in your society https://t.co/f16AJ7xTfW"
2023-03-21 06:39:35,,@privilage_js_ @BLACKPINKGLOBAL @BLACKPINK Sje isn't like lisa. She likes to brag and she comes to weverse jz wait
