time,places,tweet
time,places,tweet
time,places,tweet
2023-03-20 09:27:00,"Milano, Italia","Tony Mount remains Mason Mount's official agent; he has partnered with Neil Fewings (ROOF group) to help with talks as there's no agreement with Chelsea on new deal 🔵 #CFC 

Mount could leave in the summer if agreement won't be reached - Liverpool remain among clubs interested. https://t.co/ZHIqFC6z8c"
2023-03-20 11:58:00,Anfield,🎶 Fernando @Torres Liverpool's number 9 🎶 https://t.co/NcOxW1NYep
2023-03-20 11:58:01,"Manchester, England","Liverpool fans are moaning that we’ve got an ‘easy draw’ in the FA Cup semi final.

They must have very short memories… #MUFC https://t.co/J6bxXnX7Cb"
2023-03-20 23:59:52,,"@AkemAiman Away City
Away Liverpool 
Away Newcastle 

A tough game for us"
2023-03-20 23:59:32,,"@ScaylexN0VA @AfcGabeast Don't mention your name beside those two, and that's not even a dig liverpool manu chelsea, and the list goes on your crop club, and this year mancity is in there with does 3"
2023-03-20 23:59:24,"Croydon, London, England",@rebekkarnold Wasn't this the reporter that categorically said that Klopp wasn't joining Liverpool?
2023-03-20 23:58:53,,@Jesanchez3 Did you play for Liverpool?
2023-03-20 23:58:24,,"[TV] Britain's Most Expensive Houses (Channel 4+1) Tue, Mar 28, 5:25 AM A sneak peek behind the doors of some of the UK's jaw-dropping hom.."
2023-03-20 23:58:02,,"[TV] Britain's Most Expensive Houses (Channel 4) Tue, Mar 28, 4:25 AM A sneak peek behind the doors of some of the UK's jaw-dropping homes.."
2023-03-20 23:58:00,,"@stusfootyflash Credit to the guy, always fronted up to the fans home and away. Invented the perm and the Platoon style penalty dive. I always thought he was better than Kenny Dalglish at Liverpool because he was quicker and tried to get past people more."
2023-03-20 23:57:56,,Consider the creation of this account Liverpool's lucky charm. I have no doubt we are getting top 4 lads
2023-03-20 23:57:47,,*liverpool taking notes since we need it 😒 https://t.co/wENkYzOkMW
2023-03-20 23:57:47,Great Britain,@EmmaWal95031532 @diaperedtom @RichardBurgon @RishiSunak Is that a serious question? You know councils are run be the elected councillors yes? Who are from a party….Liverpool city council for instance is Labour run
2023-03-20 23:57:46,Liverpool UK,"https://t.co/sotJrfwOFS

The Labour Cabal in Liverpool have been in power for 12 years but it is a party drunk on its failures  resistant to  scrutiny and with a poor record  on getting things done  that matter to the people of Liverpool ."
2023-03-20 09:27:00,"Milano, Italia","Tony Mount remains Mason Mount's official agent; he has partnered with Neil Fewings (ROOF group) to help with talks as there's no agreement with Chelsea on new deal 🔵 #CFC 

Mount could leave in the summer if agreement won't be reached - Liverpool remain among clubs interested. https://t.co/ZHIqFC6z8c"
2023-03-20 11:58:00,Anfield,🎶 Fernando @Torres Liverpool's number 9 🎶 https://t.co/NcOxW1NYep
2023-03-20 11:58:01,"Manchester, England","Liverpool fans are moaning that we’ve got an ‘easy draw’ in the FA Cup semi final.

They must have very short memories… #MUFC https://t.co/J6bxXnX7Cb"
2023-03-20 23:59:52,,"@AkemAiman Away City
Away Liverpool 
Away Newcastle 

A tough game for us"
2023-03-20 23:59:32,,"@ScaylexN0VA @AfcGabeast Don't mention your name beside those two, and that's not even a dig liverpool manu chelsea, and the list goes on your crop club, and this year mancity is in there with does 3"
2023-03-20 23:59:24,"Croydon, London, England",@rebekkarnold Wasn't this the reporter that categorically said that Klopp wasn't joining Liverpool?
2023-03-20 23:58:53,,@Jesanchez3 Did you play for Liverpool?
2023-03-20 23:58:24,,"[TV] Britain's Most Expensive Houses (Channel 4+1) Tue, Mar 28, 5:25 AM A sneak peek behind the doors of some of the UK's jaw-dropping hom.."
2023-03-20 23:58:02,,"[TV] Britain's Most Expensive Houses (Channel 4) Tue, Mar 28, 4:25 AM A sneak peek behind the doors of some of the UK's jaw-dropping homes.."
2023-03-20 23:58:00,,"@stusfootyflash Credit to the guy, always fronted up to the fans home and away. Invented the perm and the Platoon style penalty dive. I always thought he was better than Kenny Dalglish at Liverpool because he was quicker and tried to get past people more."
2023-03-20 23:57:56,,Consider the creation of this account Liverpool's lucky charm. I have no doubt we are getting top 4 lads
2023-03-20 23:57:47,,*liverpool taking notes since we need it 😒 https://t.co/wENkYzOkMW
2023-03-20 23:57:47,Great Britain,@EmmaWal95031532 @diaperedtom @RichardBurgon @RishiSunak Is that a serious question? You know councils are run be the elected councillors yes? Who are from a party….Liverpool city council for instance is Labour run
2023-03-20 23:57:46,Liverpool UK,"https://t.co/sotJrfwOFS

The Labour Cabal in Liverpool have been in power for 12 years but it is a party drunk on its failures  resistant to  scrutiny and with a poor record  on getting things done  that matter to the people of Liverpool ."
2023-03-20 21:24:06,,"[TV] First Edition (Liverpool TV) Mon, Mar 20, 10:00 PM TalkTV's flagship evening news programme takes an energetic look at tomorrow's new.."
2023-03-20 21:24:03,Born Liverpool.,Boxing photography March 2023 @vincoboxing show in Liverpool https://t.co/pSIvj0bRUi
2023-03-20 21:23:41,"Darlington, England",@stuttsinho @Pangry2904 @qhxwz_ @jonmorleylfc For the record I’m not an arsenal fan or Liverpool fan or a man united fan or in fact a fan of any club in the premier league. I’m merely a neutral
2023-03-20 21:23:01,UCL 2023 🔜,@Cristob08722342 @TheFanOpinion @FabrizioRomano Less faker than him going to Liverpool 😭😭
2023-03-20 21:22:51,Birmingham,@OmraneRedjeb @Stalag_man @premierleague @Torres @LFC @K7al_L3afta Man Utd beat Liverpool home and away in the 07/08 season without conceding a goal. Just making it clear that it's a modern myth that Torres was spectacular against Man Utd. 5 league goals in 14 games is average.
2023-03-20 21:22:33,,@WOWalesOnline I'd rather watch 2023 Liverpool play for 5 years straight 👍
2023-03-20 21:22:33,,@LFCIshan or he’s trying to decrease his price as he knows liverpool can’t pay the high demand
2023-03-20 21:22:19,Anfield,@NotoriousNUFC @alfiecassidy62 @AlexparkerI @markgoldbridge warra win for noocastle against liverpool this szn
2023-03-20 21:24:06,,"[TV] First Edition (Liverpool TV) Mon, Mar 20, 10:00 PM TalkTV's flagship evening news programme takes an energetic look at tomorrow's new.."
2023-03-20 21:24:03,Born Liverpool.,Boxing photography March 2023 @vincoboxing show in Liverpool https://t.co/pSIvj0bRUi
2023-03-20 21:23:41,"Darlington, England",@stuttsinho @Pangry2904 @qhxwz_ @jonmorleylfc For the record I’m not an arsenal fan or Liverpool fan or a man united fan or in fact a fan of any club in the premier league. I’m merely a neutral
2023-03-20 21:23:01,UCL 2023 🔜,@Cristob08722342 @TheFanOpinion @FabrizioRomano Less faker than him going to Liverpool 😭😭
2023-03-20 21:22:51,Birmingham,@OmraneRedjeb @Stalag_man @premierleague @Torres @LFC @K7al_L3afta Man Utd beat Liverpool home and away in the 07/08 season without conceding a goal. Just making it clear that it's a modern myth that Torres was spectacular against Man Utd. 5 league goals in 14 games is average.
2023-03-20 21:22:33,,@WOWalesOnline I'd rather watch 2023 Liverpool play for 5 years straight 👍
2023-03-20 21:22:33,,@LFCIshan or he’s trying to decrease his price as he knows liverpool can’t pay the high demand
2023-03-20 21:22:19,Anfield,@NotoriousNUFC @alfiecassidy62 @AlexparkerI @markgoldbridge warra win for noocastle against liverpool this szn
2023-03-20 18:49:04,Sverige,@AnfieldEdition Ffs all Spanish media outlets saying he is going to Madrid next day Real won't go to a bidding war. All German outlets saying Liverpool is leading the race for him. Now one English source saying unlikely but not over. They have no clue how Liverpool operates there transfer. Chill
2023-03-20 18:49:00,United Kingdom,"Exciting news! 🙌

From April 1, we will be providing 24/7 access for Deaf users to access their health appointments at four new Liverpool Hospital Trusts:

- @LHCHFT 
- @LiverpoolWomens 
- @WaltonCentre 
- @CCCNHS 

We can't wait to start! 🏥 https://t.co/HvntbB3B1Q"
2023-03-20 18:48:54,,"@andruchk @LosReyesdeEU Fede vs Liverpool did a monstrous job. He was our RB, RCM (Modric was pressing) &amp; he was our RW.

Expecting Fede Valverde to do the same thing 3 days later is crazy. He was obviously tired, he could not sprint into the box or on the wings, saw him one time try to squeeze a sprint"
2023-03-20 18:48:52,"Oakfield Rd , Liverpool",@beaks1973 @Rome1984winners The new stand income will increase our netspend from 20m to 21m per season . Liverpool Echo 😂
2023-03-20 18:48:44,,"Ice Cream Cakes 
#cannabisuk #ukweed #London #MANCHESTER #Liverpool #Leeds #Glasgow #Nottingham #Sheffield #Birmingham #Bristol #Brighton  #Aberdeen #Leicester  #Belfast #EDINBURGH #Norwich #SWANSEA #CARDIFF #Coventry #Cambridge #Exeter #Tyneside #Plymouth #Peterborough #uk https://t.co/SDmhuSpyxd"
2023-03-20 18:48:44,"Berkshire, England","@MCFChibbs @DeadlineDayLive Deal was done probably a few months ago if not longer, remember they had been working on it for over a year, downside for Liverpool is lack of money as Dortmund would probably want 120+ m for him."
2023-03-20 18:48:36,"Liverpool, England",'I love him': Jose Enrique wishes 'world class' Arsenal star was actually playing for Liverpool #lfc #ynwa #liverpool https://t.co/Qb29u2xlvH
2023-03-20 18:48:34,"London, England","🗣️Liverpool increasingly unlikely to sign Jude Bellingham this summer. Expected price &amp; financial power of rivals puts Liverpool's hopes in doubt. 

Plus Bellingham wants Champions League football! 

Discussing now⬇️

📲 - https://t.co/9Tzf4CvP7d https://t.co/IlxktF7VSG"
2023-03-20 18:48:27,"Karachi, Pakistan","@The_x2_ Nahi yar
Aese na bolo
He did a really good job at dortmund and Liverpool, but 4 5 sal baad he needs reinforcement, werna farig hojta hy"
2023-03-20 18:48:07,,@Troll_Fotballl United 🤢 Liverpool too
2023-03-20 18:48:03,,"@_LFCera @DeadlineDayLive Liverpool haven’t missed out 😂 just journalists looking for east views, likes and tweets during a slow upcoming international week 🤣"
2023-03-20 18:48:02,Estadio Santiago Bernabeu,@b1lalrmcf @KaizerRMA kroos didn’t have the best game i agree but everyone saw how good he was vs liverpool so i bet he didn’t want to fix something that wasn’t broken we were defending solid right from the start ancelotti came with a plan and on the counter attacks as well we were very dangerous
2023-03-20 18:48:01,C-137,@Adessy09 @Torres I don't think I've forgiven Torres for leaving Liverpool 😭❤️ mehn I was heartbroken
2023-03-20 18:47:56,,"@Mike87_United @nikoranos @StoolFootball 😂😂 Utd fans with the playing lots of games excuse! Liverpool have played way more than anyone since 2022 with small squad, but if it was brought up utd fans had plenty of say abou that excuse. But now it’s ok 😂Problem was Liverpool carried on being defensively superb too."
2023-03-20 18:47:52,,@CACoates96 Isn't Ornstein the guy that broke the story Liverpool was for sale a while back ? When it isn't
2023-03-20 18:49:04,Sverige,@AnfieldEdition Ffs all Spanish media outlets saying he is going to Madrid next day Real won't go to a bidding war. All German outlets saying Liverpool is leading the race for him. Now one English source saying unlikely but not over. They have no clue how Liverpool operates there transfer. Chill
2023-03-20 18:49:00,United Kingdom,"Exciting news! 🙌

From April 1, we will be providing 24/7 access for Deaf users to access their health appointments at four new Liverpool Hospital Trusts:

- @LHCHFT 
- @LiverpoolWomens 
- @WaltonCentre 
- @CCCNHS 

We can't wait to start! 🏥 https://t.co/HvntbB3B1Q"
2023-03-20 18:48:54,,"@andruchk @LosReyesdeEU Fede vs Liverpool did a monstrous job. He was our RB, RCM (Modric was pressing) &amp; he was our RW.

Expecting Fede Valverde to do the same thing 3 days later is crazy. He was obviously tired, he could not sprint into the box or on the wings, saw him one time try to squeeze a sprint"
2023-03-20 18:48:52,"Oakfield Rd , Liverpool",@beaks1973 @Rome1984winners The new stand income will increase our netspend from 20m to 21m per season . Liverpool Echo 😂
2023-03-20 18:48:44,,"Ice Cream Cakes 
#cannabisuk #ukweed #London #MANCHESTER #Liverpool #Leeds #Glasgow #Nottingham #Sheffield #Birmingham #Bristol #Brighton  #Aberdeen #Leicester  #Belfast #EDINBURGH #Norwich #SWANSEA #CARDIFF #Coventry #Cambridge #Exeter #Tyneside #Plymouth #Peterborough #uk https://t.co/SDmhuSpyxd"
2023-03-20 18:48:44,"Berkshire, England","@MCFChibbs @DeadlineDayLive Deal was done probably a few months ago if not longer, remember they had been working on it for over a year, downside for Liverpool is lack of money as Dortmund would probably want 120+ m for him."
2023-03-20 18:48:36,"Liverpool, England",'I love him': Jose Enrique wishes 'world class' Arsenal star was actually playing for Liverpool #lfc #ynwa #liverpool https://t.co/Qb29u2xlvH
2023-03-20 18:48:34,"London, England","🗣️Liverpool increasingly unlikely to sign Jude Bellingham this summer. Expected price &amp; financial power of rivals puts Liverpool's hopes in doubt. 

Plus Bellingham wants Champions League football! 

Discussing now⬇️

📲 - https://t.co/9Tzf4CvP7d https://t.co/IlxktF7VSG"
2023-03-20 18:48:27,"Karachi, Pakistan","@The_x2_ Nahi yar
Aese na bolo
He did a really good job at dortmund and Liverpool, but 4 5 sal baad he needs reinforcement, werna farig hojta hy"
2023-03-20 18:48:07,,@Troll_Fotballl United 🤢 Liverpool too
2023-03-20 18:48:03,,"@_LFCera @DeadlineDayLive Liverpool haven’t missed out 😂 just journalists looking for east views, likes and tweets during a slow upcoming international week 🤣"
2023-03-20 18:48:02,Estadio Santiago Bernabeu,@b1lalrmcf @KaizerRMA kroos didn’t have the best game i agree but everyone saw how good he was vs liverpool so i bet he didn’t want to fix something that wasn’t broken we were defending solid right from the start ancelotti came with a plan and on the counter attacks as well we were very dangerous
2023-03-20 18:48:01,C-137,@Adessy09 @Torres I don't think I've forgiven Torres for leaving Liverpool 😭❤️ mehn I was heartbroken
2023-03-20 18:47:56,,"@Mike87_United @nikoranos @StoolFootball 😂😂 Utd fans with the playing lots of games excuse! Liverpool have played way more than anyone since 2022 with small squad, but if it was brought up utd fans had plenty of say abou that excuse. But now it’s ok 😂Problem was Liverpool carried on being defensively superb too."
2023-03-20 18:47:52,,@CACoates96 Isn't Ornstein the guy that broke the story Liverpool was for sale a while back ? When it isn't
2023-03-20 16:14:39,"West Midlands, England","@CACoates96 Liverpool only spend £50 million top waks for a player, they went mad with the £142 million  Coutinho money, but they never could afford Bellingham he is going to Real Madrid."
2023-03-20 16:14:25,,"Playing around with a potential FH32 team even though there's absolutely no point.

Darwin instead of Bowen/Ings an option and switch Robertson.

Toney vs AVL (h) if available too.

Triple Arsenal, triple Liverpool &amp; Kane seem obvious.

Then fill the rest in. https://t.co/4dkkpTNXJS"
2023-03-20 16:14:23,"Nairobi, Kenya","@Gunnersc0m we need trossard, trossard owns Liverpool"
2023-03-20 16:14:13,Bergen,@CelticFC @ShaunDillon3 Sitting in the Liverpool end 😆 Who else was there?? Andy Mac? Hessey got us the tickets? I never made it back up the road after that game 😂
2023-03-20 16:14:08,,Last night was everything 🙌🏻 @feelmybicep #Liverpool https://t.co/XrWzBkJaZx
2023-03-20 16:14:08,🌏,@Dajb44 @CarefreeJonty He did it against Liverpool
2023-03-20 16:14:07,Lesotho,"@db_Mk21 After we lost to Sporting, Ødegaard said we are now left with 11 finals to play. It's 10 now. According to me, we have only 3 fixtures are tricky: Liverpool away, Southampton home, and Man City away. Liverpool is very difficult to play against more especially at Anfield."
2023-03-20 16:14:06,"Cannock, Staffordshire","@DreyfusJames @DreyfusJames Try tagging Liverpool echo, you're a celebrity so they might run with it if they haven't already"
2023-03-20 16:14:06,"London, England","@sattapaal David Ornstein believes it is becoming unlikely Liverpool will be able to buy Jude Bellingham this summer, as Manchester City and Real Madrid are interested and can spend more than Liverpool. Nothing really new though, if Bellingham wants us then he will be a Liverpool player."
2023-03-20 16:14:04,,💜🏴󠁧󠁢󠁥󠁮󠁧󠁿 Liverpool 23-24 Third Kit Leaked [@FumlerRawk @KB2X]: https://t.co/QJhV8RsNkl
2023-03-20 16:13:55,"Liverpool, England","Today I was asked if I remembered Lucas Leiva signing for Liverpool. I’m 22. 

Anyway, the latest Blood Red with @JoeRimmer88, @TheoSquiresECHO &amp; @garnster. https://t.co/BYnyMZ5AjQ"
2023-03-20 16:13:54,,Would be lit if Trossard score hat trick pon Liverpool again this season 😩😩😩
2023-03-20 16:13:53,Hades💀,"@natioonn If he really wanna play for us, UCL or not he'll come. Cos he knows we will surely play UCL the following season. 
It's the obsession by most Liverpool accounts here that's absurd."
2023-03-20 16:13:43,United Kingdom,New York Overhead Railway (1st 2 images) and Liverpool Overhead railway early 1900's (LOR) Liverpool's now gone. Built in 4 years its claimed. Damaged in WWll and considered too costly to repair it was closed in 1956 then demolished... https://t.co/wLw6OSPxAR
2023-03-20 16:13:35,Redhill Surrey ,@BrazyBaz @UTDTrey Liverpool are out of every competition chelsea only have UCL to compete for what r u on 🤣🤣
2023-03-20 16:14:39,"West Midlands, England","@CACoates96 Liverpool only spend £50 million top waks for a player, they went mad with the £142 million  Coutinho money, but they never could afford Bellingham he is going to Real Madrid."
2023-03-20 16:14:25,,"Playing around with a potential FH32 team even though there's absolutely no point.

Darwin instead of Bowen/Ings an option and switch Robertson.

Toney vs AVL (h) if available too.

Triple Arsenal, triple Liverpool &amp; Kane seem obvious.

Then fill the rest in. https://t.co/4dkkpTNXJS"
2023-03-20 16:14:23,"Nairobi, Kenya","@Gunnersc0m we need trossard, trossard owns Liverpool"
2023-03-20 16:14:13,Bergen,@CelticFC @ShaunDillon3 Sitting in the Liverpool end 😆 Who else was there?? Andy Mac? Hessey got us the tickets? I never made it back up the road after that game 😂
2023-03-20 16:14:08,,Last night was everything 🙌🏻 @feelmybicep #Liverpool https://t.co/XrWzBkJaZx
2023-03-20 16:14:08,🌏,@Dajb44 @CarefreeJonty He did it against Liverpool
2023-03-20 16:14:07,Lesotho,"@db_Mk21 After we lost to Sporting, Ødegaard said we are now left with 11 finals to play. It's 10 now. According to me, we have only 3 fixtures are tricky: Liverpool away, Southampton home, and Man City away. Liverpool is very difficult to play against more especially at Anfield."
2023-03-20 16:14:06,"Cannock, Staffordshire","@DreyfusJames @DreyfusJames Try tagging Liverpool echo, you're a celebrity so they might run with it if they haven't already"
