time,places,tweet
2023-03-15 10:05:42,Old Trafford,"Throwing it back to when Julia Roberts visited Old Trafford 😏

#MUFC https://t.co/xBzLZgnJLK"
2023-03-16 19:36:41,"Milano, Italia","27 goals and 9 assists in 43 games with Manchester United this season.

Youngest Man United player to score 25 goals in European competitions.

Marcus Rashford 🔴✨ #MUFC #UEL https://t.co/LJamIjGxxR"
2023-03-17 06:34:05,Old Trafford,"Wishing you a special day, Sabi! 🎂

#MUFC https://t.co/K5VMkWbqnt"
2023-03-17 23:59:06,,When your middle name is Patrick… https://t.co/5tyHzP8JJu
2023-03-17 23:59:00,"Manchester, UK","👀 Will the news allow Pellistri another start?

#MUFC | #ManUtd https://t.co/fkvxmYjoes"
2023-03-17 23:58:44,,"@theJeremyVine @M_J_B_74 @righttobikeit The police were trying to help him due to drivers' concerns, it's a country road in foggy conditions. Potentially dangerous conditions for a cyclist. You're becoming more and more unhinged with this stuff."
2023-03-17 23:57:40,,"Real Madrid are monitoring developments with Tottenham's England striker Harry Kane, 29, whose contract runs out in 2024 and has been linked with a possible move to Manchester United or Bayern Munich. (Mail)
#THFC #RealMadrid #MUFC #Bayern
#LFC #YNWA #ThinkLFCTV"
2023-03-15 10:05:42,Old Trafford,"Throwing it back to when Julia Roberts visited Old Trafford 😏

#MUFC https://t.co/xBzLZgnJLK"
2023-03-16 19:36:41,"Milano, Italia","27 goals and 9 assists in 43 games with Manchester United this season.

Youngest Man United player to score 25 goals in European competitions.

Marcus Rashford 🔴✨ #MUFC #UEL https://t.co/LJamIjGxxR"
2023-03-17 06:34:05,Old Trafford,"Wishing you a special day, Sabi! 🎂

#MUFC https://t.co/K5VMkWbqnt"
2023-03-17 23:59:06,,When your middle name is Patrick… https://t.co/5tyHzP8JJu
2023-03-17 23:59:00,"Manchester, UK","👀 Will the news allow Pellistri another start?

#MUFC | #ManUtd https://t.co/fkvxmYjoes"
2023-03-17 23:58:44,,"@theJeremyVine @M_J_B_74 @righttobikeit The police were trying to help him due to drivers' concerns, it's a country road in foggy conditions. Potentially dangerous conditions for a cyclist. You're becoming more and more unhinged with this stuff."
