time,places,tweet
2023-03-15 15:21:17,"Houston, TX","The next generation spacesuit. 

@NASA selected @Axiom_Space to develop the suits for the Artemis III mission to the lunar surface. The first prototype was revealed today during an event at Space Center Houston in Texas. https://t.co/qW96kLYIxl https://t.co/icFDxv60IU"
2023-03-15 15:21:17,"Houston, TX","The next generation spacesuit. 

@NASA selected @Axiom_Space to develop the suits for the Artemis III mission to the lunar surface. The first prototype was revealed today during an event at Space Center Houston in Texas. https://t.co/qW96kLYIxl https://t.co/icFDxv60IU"
time,places,tweet
time,places,tweet
2023-03-20 16:26:35,Pale Blue Dot,"🌸 Ok, bloomer: Spring is here. The March equinox marks the first day of spring in the Northern Hemisphere and autumn in the Southern Hemisphere. During equinox, the Sun shines on the equator with nearly equal amounts of day &amp; night: https://t.co/WC28LsQzbL https://t.co/acSLOpNklY"
2023-03-19 20:00:03,Goddard Space Flight Center,"This sparkling new Hubble image shows the brilliant globular cluster M14.

Home to over 150,000 stars, M14 played host to a nova in 1938. A nova is a sudden stellar eruption where a star’s brightness increases by a factor of 10,000 in just a few days: https://t.co/oU3xNvQc6F https://t.co/eymCOt9gd7"
2023-03-20 20:48:38,Pale Blue Dot,"Give your mail a cosmic commemoration!

On Sept. 24, #OSIRISRex spacecraft will deliver a capsule of asteroid material to Earth as part of its journey #ToBennuAndBack. @USPS announced an #OSIRISRExStamp to mark this epic delivery available later this year: https://t.co/6Wnu2yszHc https://t.co/f95CBRLGY7"
2023-03-21 10:22:07,"Brighton, UK","@Mr_Unvaxxed @KromeInk @guardian Gosh, on the one hand there's the entire global climate science community, and on the other there's some random guy on Twitter. Who to believe??

Do you have anything specific to back up your assertion? Or is it more vibes-based?

https://t.co/YsZBr2tq9Z"
2023-03-21 10:22:04,"Florida, USA","'Dark Nebulae and Star Formation in Taurus' image from the #NASA_App
https://t.co/ojvjtT3U4T https://t.co/4eEl9124e6"
2023-03-21 10:21:32,,"@ProfBillMcGuire Noaa, NASA and others confirm that the earth HASNT warmed in 15 years"
2023-03-21 10:21:21,En mi rincón. ,Cosmic Dust https://t.co/Lgg6i81afb
2023-03-21 10:20:03,,"#Perseverance on #Mars

Sol: 702
#Earth date: 2023-02-09;
#Camera: Mast Camera Zoom - Right

#PerseveranceRover #NASAPhotos #NASA #NASAAPI #MarsPhoto #MarsPhotos #MarsMission #NASAIngenuity #Space #PerseverancePhotoBot #TwitterBot #Bot https://t.co/xgTwVIFnsK"
2023-03-21 10:19:54,Mars,#PerseveranceRover image taken on #Sol738 at 5:21:39.959 AM with #Navcam #Mars #NASA #Space https://t.co/nAidHzM7KF
2023-03-21 10:19:45,"UK, USA, India & more","Meet the team at the 2023 Flight Software Workshop to discuss #LDRA news - or to say hi! Director of Field Engineering, Jay Thomas, presents ""The Future of Functional Safety and Security for NASA Software Programs"" at 2:30 pm. https://t.co/1K1WHe2KQ5"
2023-03-21 10:19:09,,"@NASA always thank you, NASA. spring coming peace. 
but still World sick omiclone virus, crime vocie problems..
Nasa, ESA with World health, safe for future."
2023-03-21 10:18:54,Everywhere,"@paulinenjoroge You remember what Uhuru told the NASA brigade after 2017 elections about nyama na na minofu? This is what's happening here. Let them eat, it's their turn"
2023-03-21 10:18:54,"Scarborough, United  Kingdom ","Tuesday, March 21. Today’s solar photosphere image courtesy of NASA and the celestial position of the Sun at 12h Universal Time.
https://t.co/j1TNRaBKmR https://t.co/zmalYLwMB0"
2023-03-21 10:18:35,Melbourne,"@pete_artist @KyleaTink You’re right Pete!
And CSIRO NOAA NASA RMI UTS and the Royal Society are all wrong.
Bets anyone?"
2023-03-21 10:18:16,23 she/her bi • LTPH Pres,ako na nasa hospital and idk if im hyperventilating bc harry x bts or bc im sick
2023-03-21 10:18:15,"Jacksonville, FL","@JRSchmit @Cosmozoom_ofcl ‘To do this, NASA and Lockheed opted to bring in an outside consultant, Boris Yendler, who specializes in spacecraft propellant estimations.”

Talk about a specialized skill set…"
2023-03-21 10:18:10,,Deep state and military industrial complex that gets it's money through NASA https://t.co/a1LZqrCWEW
