time,places,tweet
2023-03-06 07:21:46,"Bangkok, Thailand","Water cannons are being used to spray water into the air in an attempt to reduce the level of PM2.5 microdust in Chiang Mai Mon as the city was listed by IQAir app as the 3rd most polluted city on earth for air quality, after Lahore &amp; Karachi. #Thailand #KE  #ChiangMai #PM25 https://t.co/9VmRqBFaL7"
2023-03-05 02:21:30,"Beijing, China","In past 5 years, China's forest coverage rate and wetland protection rate reached over 24% and 50%. Carbon dioxide emissions fell by 14.1%. In cities at prefecture level and above, the average concentration of PM25 dropped by 27.5%: Govt Work Report #TwoSessions https://t.co/HQ65x9Gq48"
2023-03-06 12:48:34,,"[Automated]
India Capital #Air #Pollution as on 06-Mar-2023 6:00pm
 Least Polluted: Itanagar,Shimla,Bangalore,...
 Most Polluted: Panaji,Shillong,Srinagar,...
 Min pm25: Itanagar
 Max pm25: Kolkata

https://t.co/vl4PEevzQV https://t.co/9pHsuQCFN1"
2023-03-06 12:40:04,"Liverpool, England","06/03/2023, 12:00 (μgm⁻³)
NO₂: 12 (1 Low)
O₃: 62 (2 Low)
PM₁₀₀: 6 (1 Low)
PM₂₅: 2 (1 Low)
SO₂: 1 (1 Low)
https://t.co/qvzYnnpUZC"
2023-03-06 11:40:03,"Liverpool, England","06/03/2023, 11:00 (μgm⁻³)
NO₂: 12 (1 Low)
O₃: 60 (2 Low)
PM₁₀₀: 6 (1 Low)
PM₂₅: 2 (1 Low)
SO₂: 1 (1 Low)
https://t.co/qvzYnnpUZC"
2023-03-06 10:40:03,"Liverpool, England","06/03/2023, 10:00 (μgm⁻³)
NO₂: 18 (1 Low)
O₃: 59 (2 Low)
PM₁₀₀: 6 (1 Low)
PM₂₅: 2 (1 Low)
SO₂: 1 (1 Low)
https://t.co/qvzYnnpUZC"
2023-03-06 09:40:03,"Liverpool, England","06/03/2023, 09:00 (μgm⁻³)
NO₂: 22 (1 Low)
O₃: 58 (2 Low)
PM₁₀₀: 6 (1 Low)
PM₂₅: 2 (1 Low)
SO₂: 1 (1 Low)
https://t.co/qvzYnnpUZC"
2023-03-06 08:47:27,,"[Automated]
India Capital #Air #Pollution as on 06-Mar-2023 2:00pm
 Least Polluted: Itanagar,Bangalore,Bhopal,...
 Most Polluted: Raipur,Shillong,Srinagar,...
 Min pm25: Itanagar
 Max pm25: Mumbai

https://t.co/vl4PEevzQV https://t.co/bkGjI2pPPc"
2023-03-06 08:40:04,"Liverpool, England","06/03/2023, 08:00 (μgm⁻³)
NO₂: 23 (1 Low)
O₃: 57 (2 Low)
PM₁₀₀: 6 (1 Low)
PM₂₅: 2 (1 Low)
SO₂: 1 (1 Low)
https://t.co/qvzYnnpUZC"
2023-03-06 08:20:03,"Liverpool, England","06/03/2023, 07:00 (μgm⁻³)
NO₂: 22 (1 Low)
O₃: 57 (2 Low)
PM₁₀₀: 6 (1 Low)
PM₂₅: 2 (1 Low)
SO₂: 1 (1 Low)
https://t.co/qvzYnnqsPa"
2023-03-06 07:49:59,"Goa, India","@EnvSciRSC @indiainpixels Re-presentation of the data in this paper using @indiainpixels portal

% increase in #PM25 concentrations in #India in 2020 compared to 1998

https://t.co/qj61RdfiSj https://t.co/bOJ3T3T0JB"
2023-03-06 07:48:34,"Goa, India","@EnvSciRSC Re-presentation of the data in this paper using @indiainpixels portal

#PM25 concentrations in #India in 1998 and 2020

https://t.co/qj61RdfiSj https://t.co/gafFdO0Vsr"
2023-03-06 07:40:03,"Liverpool, England","06/03/2023, 07:00 (μgm⁻³)
NO₂: 22 (1 Low)
O₃: 57 (2 Low)
PM₁₀₀: 6 (1 Low)
PM₂₅: 2 (1 Low)
SO₂: 1 (1 Low)
https://t.co/qvzYnnpUZC"
2023-03-06 07:21:46,"Bangkok, Thailand","Water cannons are being used to spray water into the air in an attempt to reduce the level of PM2.5 microdust in Chiang Mai Mon as the city was listed by IQAir app as the 3rd most polluted city on earth for air quality, after Lahore &amp; Karachi. #Thailand #KE  #ChiangMai #PM25 https://t.co/9VmRqBFaL7"
2023-03-06 07:00:43,"Berlin, Germany","Berlin, Germany - air quality is considered satisfactory, and air pollution poses little or no risk. Main pollutant is O₃

          Air Quality Index - 23 | Good 💚
          ------
          PM₂₅ - 21
          PM₁₀ - 7
          O₃ - 22.8"
2023-03-06 06:40:04,"Liverpool, England","06/03/2023, 06:00 (μgm⁻³)
NO₂: 15 (1 Low)
O₃: 57 (2 Low)
PM₁₀₀: 6 (1 Low)
PM₂₅: 2 (1 Low)
SO₂: 1 (1 Low)
https://t.co/qvzYnnpUZC"
2023-03-06 05:40:03,"Liverpool, England","06/03/2023, 05:00 (μgm⁻³)
NO₂: 10 (1 Low)
O₃: 58 (2 Low)
PM₁₀₀: 6 (1 Low)
PM₂₅: 2 (1 Low)
SO₂: 1 (1 Low)
https://t.co/qvzYnnpUZC"
