time,places,tweet
2023-03-20 22:14:10,,Breakthrough: Xi Announces Deal In Which Russia Stays In Ukraine And China Invades Taiwan https://t.co/DFFz8gvC1o
2023-03-20 22:38:24,Taipei City,"Delighted to meet with the UK @HouseofCommons delegation led by @TaiwanAPPG Co-Chair @Bob4Beckenham. We are grateful for the many MPs who have voiced strong support for enhancing #Taiwan-#UK relations, and we look forward to even more engagement between our countries. https://t.co/Te0r4lpYe9"
2023-03-20 15:25:00,Worldwide,"BLACKPINK's Lisa Becomes A Hot Topic Online For Her Mesmerizing Barefaced Visuals At Taiwan Airport

#BLACKPINK #LISA #BORNPINKinKAOHSIUNG

https://t.co/Oyl9ysJ9UP"
2023-03-21 12:51:39,INDIA,"PART-I REF 19432
BIDEN-What 
BEAN-China may announce status quo at conquered and the war ends for a while ,but they may retaliate latter simultaneously at Taiwan and Ukraine absolute ,here stand the game plan 
BIDEN-Our classified state war prolong till july 2024 for elections"
2023-03-21 12:51:37,"Karachi, Pakistan","China routinely opposes official exchanges between Taiwan and its international partners

#GeoNews

https://t.co/WML9BDFAVa"
2023-03-21 12:51:35,"New York, NY","“No matter what the issue is vis-à-vis U.S.-China or developments within China, China and Taiwan, the narratives tend to be very polar. It's either all this or all that, right? And they tend to be, frankly, grossly oversimplified.”
https://t.co/AWFaecMzd3"
2023-03-21 12:51:32,"Langley, Virginia ;)","@MFA_China So you totally agree 💯 that Taiwan 🇹🇼 is a totally 💯 independent nation, excellent 👍 https://t.co/uBKJ7U8NNZ"
2023-03-21 12:51:31,"Matsumoto, Japan","The #CPP are Marxists and see the world in terms of hegemony and will not stop at #Taiwan. Japan and The Philippines will be next. Our long-term goal must be to liberate the mainland from these genocidal thugs.
#TaiwanIsaCountry 
消滅萬惡共匪，自由民主才能在大陸光復！ https://t.co/TLU39snFzl"
2023-03-21 12:51:19,Taiwan,"@ABC ""leading to as many as hundreds of thousands of deaths that could have been avoided""

Same goes to Taiwan &amp; America."
2023-03-21 12:51:05,,"Brave woman but in lot of stress lately
Taiwan confirms President Tsai will make US stopovers in coming weeks

https://t.co/mNMhsMJl1v"
2023-03-21 12:50:48,Bangkok,"@Rajprasong_News Yes, we have two strategies to keep China at bay: one is the silicon shield (take out Taiwan, no more digital fun); two is the KFC shield (take out Taiwan, no more fried chicken)."
2023-03-21 12:50:44,,"@audio_nut @GraphicW5 @ttina222 It would be a few hundred more like it but yeah carrier strike groups are like so yesterday 😂....

Perhaps Taiwan would make a nice immobile aircraft carrier of sorts"
2023-03-21 12:50:10,,"@BahatiAllyLane @Reuters China needs Russia. It imports 70% of its energy needs. Russia needs China, they make cheap stuff. But China supporting Russia pisses of Chinas bigger clients and suppliers (Australia, US, EU). So there’s that. Japan, S Korea, Taiwan, Singapore are no friend of China."
2023-03-21 12:50:06,,@WhaleCoinTalk It's interesting to see the Financial Supervisory Commission of Taiwan taking steps to become the primary regulator of the crypto industry in the country.
2023-03-21 12:49:47,2140,"Taiwan’s Financial Supervisory Commission Set to Regulate Country’s Virtual Assets Industry
.
https://t.co/bsCPmznjVt"
2023-03-21 12:49:24,,"There is still time to register for NBR’s public conference on Taiwan’s defense, featuring Admiral Davidson. https://t.co/jxFFha2hlN"
2023-03-20 22:14:10,,Breakthrough: Xi Announces Deal In Which Russia Stays In Ukraine And China Invades Taiwan https://t.co/DFFz8gvC1o
2023-03-20 22:38:24,Taipei City,"Delighted to meet with the UK @HouseofCommons delegation led by @TaiwanAPPG Co-Chair @Bob4Beckenham. We are grateful for the many MPs who have voiced strong support for enhancing #Taiwan-#UK relations, and we look forward to even more engagement between our countries. https://t.co/Te0r4lpYe9"
2023-03-20 15:25:00,Worldwide,"BLACKPINK's Lisa Becomes A Hot Topic Online For Her Mesmerizing Barefaced Visuals At Taiwan Airport

#BLACKPINK #LISA #BORNPINKinKAOHSIUNG

https://t.co/Oyl9ysJ9UP"
