time,places,tweet
2023-02-10 21:28:36,USA,"80 **BILLION** in COVID relief funds went to Planned Parenthood. Insane.

https://t.co/VspUMEJ4TN https://t.co/swEXuZ4p2H"
2023-02-10 19:14:27,"Los Angles, California","#TheDefender BREAKING NEWS: CDC adds original COVID mRNA vaccine to childhood schedule despite known harms

https://t.co/GFYkRc25BN"
2023-02-11 22:00:00,"Oshkosh, WI","I have been censored and vilified for trying to expose the truth to the American people on COVID.
 
Fauci and the COVID cartel should be held accountable for their miserably failed response to the pandemic. https://t.co/i5pIBXs6Ke"
2023-02-12 11:54:11,"Scotland, Europe",@emil_muzz @DrLoupis Wrong. That's not the stats if they caught covid.
2023-02-12 11:54:07,"Kagawa, Japan","Healthcare waste in Bangladesh: Current status, the impact of Covid-19 and sustainable management with life cycle a… https://t.co/XxnrM5EL0T"
2023-02-12 11:54:06,,"@Remarks 2020 &amp; 2021 - Covid
2022 - Russia-Ukraine War
2023 - Alien Invasion
Guess God increased the difficulty level"
2023-02-12 11:54:03,,"@pictureladyjan @RonFilipkowski They really want this ""what if"" to be the spark to a war between the US and China.

Completely irrelevant that the balloon wouldn't work as a deployment device for such weapons. Also kind of suspect that she's not actually afraid of the ""bioweapon COVID"" as she claims to be here."
2023-02-12 11:54:03,...loading,@IkukuomaC It would have been the COVID palliative if...
2023-02-12 11:54:02,,@david_r_morgan My doctor won't prescribe me tablets that will help me stop smoking. The stop smoking clinic can't either. Bet I could get a covid jab tomorrow though. 🤪
2023-02-12 11:53:50,,"@davidkeay5 @TonyMacaroni22 ""Like all medicines, the COVID-19 vaccines can cause side effects, but not everyone gets them,"" the NHS pointed out.

….so presumably only take medicine if you really need it otherwise the risks outweigh the benefits, the NHS forgot to add…."
2023-02-12 11:53:49,"Baltimore, MD",I have COVID. First time. Not feeling too great. Cheer me up?
2023-02-12 11:53:49,london,"@PatriciaKAdams @BeauteNCo @wesstreeting @TiceRichard My friend, 42, is now paralysed from the neck down. AZ, the hospital has confirmed it was the jab. He’s joined a group of 9 who have suffered the same fate. All I want you to know is what some, I know more than I knew who died of Covid are going thru. Blessings to you."
2023-02-10 21:28:36,USA,"80 **BILLION** in COVID relief funds went to Planned Parenthood. Insane.

https://t.co/VspUMEJ4TN https://t.co/swEXuZ4p2H"
2023-02-10 19:14:27,"Los Angles, California","#TheDefender BREAKING NEWS: CDC adds original COVID mRNA vaccine to childhood schedule despite known harms

https://t.co/GFYkRc25BN"
2023-02-11 22:00:00,"Oshkosh, WI","I have been censored and vilified for trying to expose the truth to the American people on COVID.
 
Fauci and the COVID cartel should be held accountable for their miserably failed response to the pandemic. https://t.co/i5pIBXs6Ke"
2023-02-12 11:54:11,"Scotland, Europe",@emil_muzz @DrLoupis Wrong. That's not the stats if they caught covid.
2023-02-12 11:54:07,"Kagawa, Japan","Healthcare waste in Bangladesh: Current status, the impact of Covid-19 and sustainable management with life cycle a… https://t.co/XxnrM5EL0T"
2023-02-12 11:54:06,,"@Remarks 2020 &amp; 2021 - Covid
2022 - Russia-Ukraine War
2023 - Alien Invasion
Guess God increased the difficulty level"
2023-02-12 11:54:03,,"@pictureladyjan @RonFilipkowski They really want this ""what if"" to be the spark to a war between the US and China.

Completely irrelevant that the balloon wouldn't work as a deployment device for such weapons. Also kind of suspect that she's not actually afraid of the ""bioweapon COVID"" as she claims to be here."
2023-02-12 11:54:03,...loading,@IkukuomaC It would have been the COVID palliative if...
2023-02-12 11:54:02,,@david_r_morgan My doctor won't prescribe me tablets that will help me stop smoking. The stop smoking clinic can't either. Bet I could get a covid jab tomorrow though. 🤪
2023-02-12 11:53:50,,"@davidkeay5 @TonyMacaroni22 ""Like all medicines, the COVID-19 vaccines can cause side effects, but not everyone gets them,"" the NHS pointed out.

….so presumably only take medicine if you really need it otherwise the risks outweigh the benefits, the NHS forgot to add…."
2023-02-12 11:53:49,"Baltimore, MD",I have COVID. First time. Not feeling too great. Cheer me up?
2023-02-12 11:53:49,london,"@PatriciaKAdams @BeauteNCo @wesstreeting @TiceRichard My friend, 42, is now paralysed from the neck down. AZ, the hospital has confirmed it was the jab. He’s joined a group of 9 who have suffered the same fate. All I want you to know is what some, I know more than I knew who died of Covid are going thru. Blessings to you."
2023-02-12 09:20:34,,@maz_marianne It appeared that the Covid vaccine was having some unusual side effects.
2023-02-12 09:20:30,Garw Valley - Cwm Garw,Let's hope the Covid statistics continue to follow this direction of travel. https://t.co/DiMA84wB27
2023-02-12 09:20:29,,"Conservative Leader Pierre Poilievre blames Trudeau  for Covid-19 vaccinations, higher interest rates, poverty, crime, high gas prices, food, rents, houses, taxes. Short of Doctors, nurses. Long hospital waiting times. All this nightmares will end, JUST ELECT ME.
I am God."
2023-02-12 09:20:23,,@670rv @RadCentrism IN SOME CASES OF LONG COVID
2023-02-12 09:20:22,,Have a bit of a cough this morning and terrified it may mean Illness. I've not had any kind of cold this winter and I've never (knowingly) had covid and I have too much work to do I can't afford to get sick
2023-02-12 09:20:21,"Las Vegas, NV",@LilTwitP @dbongino Paul I have a question for you. Did you like living under Trump’s watch? If so you didn’t mind paying higher taxes then the rich or being lied to about Covid? If you answered yes there mental help out there please seek it asap
2023-02-12 09:20:21,United Kingdom ,@casertron3000 Haha…I always screenshot because most of covid twitter is blocked by The Science folks.
2023-02-12 09:20:20,,"@RailMinIndia 
Please start the train running before covid. There's no train in the morning to reach Saharanpur and do job. Start two passenger train which were running earlier"
