time,places,tweet
2023-03-16 23:19:45,,"New video is up for my Eversoul playthrough, no commentary. Enjoy ;) 
https://t.co/lTcQGJOTRf
#gaming https://t.co/s39FLiKfd7"
2023-03-16 22:49:06,,"@Eversoul_EN Got her at epic+ so far, gotta long way to go"
2023-03-16 22:23:04,United States,"8/ 🧘‍♂️ Holders enjoy private meditation sessions &amp; crypto lessons by @EverSoul_ . Llamaverse also offers Ethereum &amp; Solana NFT calls for early project entries, market analysis, stock calls, and even degen crypto/NFT calls. #Community https://t.co/UrV0xwdRcO"
2023-03-16 19:39:12,Spain,"@playkakaogames @Eversoul_EN Hello, I'm a 530k Spanish Youtuber about NFTs, are you interested in marketing or some promo to help sell out the project?"
2023-03-16 19:03:13,,"@NyannersClone It's Eversoul, btw."
2023-03-16 17:57:56,"Mormont Keep, Bear Island",@kaeasinhi Eversoul^^
2023-03-16 17:35:09,Indonesia,@Eversoul_EN @LemuriLiila W admin https://t.co/pVrGEAbTiQ
2023-03-16 17:30:06,,@Eversoul_EN @lumines92 Sure I'll send I did already send previously it's resolved ever so slightly for Android but ipad still crashing instantly at launch of app I'll send devs 👍
2023-03-16 17:00:02,"Arkansas, USA","Aki is here!!! The patch notes for March 16 dropped or at least a preview has!! Let's see what we got this time in #Eversoul

#TeamEevee #MoonlightInn

https://t.co/lQYWpIRVU3 https://t.co/fhJJUgVMiy"
2023-03-16 16:52:43,"Melbourne, Australia",@Eversoul_EN @Doryu_VT @VTuberTweeter Omg LOLLL!!!! She's a huge favourite for many now 😆
2023-03-16 16:43:50,,"@lumines92 @Nekozumi_ Hello Savior,

If you are experiencing performance issues, can you please send a ticket specifying your device details to our support via this link? https://t.co/Uq125ozNzV
Thank you! ❤️"
2023-03-16 16:39:27,,"@fozarth Hey Savior, that is very unfortunate to hear.

Has your issue been solved by now?"
2023-03-16 16:36:09,,@HotFlakesN7 Aww thank you so much! 🧡
2023-03-16 16:35:08,,"@LemuriLiila @lawlietadam I keep saying to myself and fail all the times... 😋 

~CM Yuki"
2023-03-16 16:30:43,,"@yeihmin Thank you so much for your kind words, it's really inspiring and we truly appreciate it!
💓"
2023-03-16 16:28:13,,"@Rurri00 @PMTKanade Thanks to your reports we can collect enough data to let the developers find a solution.
Please send in a ticket with your device info and the area of the game where you experience more performance issues via this link: https://t.co/Uq125ozNzV

Thank you for your patience 🙏"
2023-03-16 16:25:19,,"@PMTKanade Hello Savior,

If you are experiencing performance issues, can you please send a ticket specifying your device details to our support via this link? https://t.co/Uq125ozNzV

Thank you! ❤️"
2023-03-16 16:19:40,Some Otter Hamlet,@Eversoul_EN Hey @Eversoul_EN Thanks! I thought my luck was pretty bad but this is my first pull for Aki! Happy Savior over here! #Eversoul https://t.co/CZNR5ddy3u
2023-03-16 14:21:24,London ^_^,"Eversoul - OP Aki 100% BREAK! BEST Teams Stage 14-25! 

https://t.co/mJjgGQPoJT #eversoul @Eversoul_EN https://t.co/fE5nesUrkD"
2023-03-16 13:33:43,The Land of Grand Narukami,I guess it's my lucky day in @Eversoul_EN https://t.co/P1TbYWVS2K
2023-03-16 13:03:07,,"@Eversoul_EN And still lagging, still frame issues, still, still, still. This will never get better."
