time,places,tweet
2023-02-12 05:37:31,Thailand,"แผ่นดินไหวตุรกี-ซีเรีย เสียชีวิตเกิน 2.8 หมื่นรายแล้ว

ตุรกีรายงานยอดผู้เสียชีวิตล่าสุด 24,617 ราย ในขณะที่ในซีเรียมีผู้เสียชีวิตแล้วอย่างน้อย 3,553 ราย

ทำให้ยอดผู้เสียชีวิตในแผ่นดินไหวครั้งนี้อยู่ที่  28,170 ราย และหลายฝ่ายคาดว่า ยอดผู้เสียชีวิตจะยังคงเพิ่มสูงขึ้นเรื่อย ๆ https://t.co/hNWuxq2fDz"
2023-02-11 03:44:49,Thailand,"ผู้เสียชีวิตในเหตุแผ่นดินไหวตุรกี - ซีเรีย เกือบ 24,000 รายแล้ว

จากเหตุแผ่นดินไหวขนาด 7.8 เมื่อวันที่ 6 ก.พ.ที่ผ่านมา ยอดล่าสุดมีผู้เสียชีวิตแล้วเกือบ 24,000 ราย 

โดยทางการตุรกีระบุว่า มีผู้เสียชีวิตแล้วอย่างน้อย 23,766 ราย ในขณะที่ยอดผู้เสียชีวิตในซีเรียอย่างน้อย 3,553 ราย https://t.co/1utvyT0EOi"
2023-02-11 12:45:00,"Bangkok, Thailand","เพจดัง เผยถึง “โทแบค” หมากู้ภัยจากเกาหลีใต้  สายพันธุ์ลาบราดอร์รีทรีฟเวอร์วัย 6 ปี

‘ช่วยปฏิบัติภารกิจเหตุแผ่นดินไหวตุรกี-ซีเรีย’ 

“แม้อุ้งเท้าหน้าขวาบาดเจ็บจากการเหยียบของมีคม แต่ยังคงทำงานต่อไป”

จนหลายคนเป็นห่วงว่า “ควรมีอุปกรณ์เซฟตี้ให้น้องๆ ด้วย” 

https://t.co/DmIxCz2iRw https://t.co/N4YXc1PbmV"
2023-02-12 05:37:31,Thailand,"แผ่นดินไหวตุรกี-ซีเรีย เสียชีวิตเกิน 2.8 หมื่นรายแล้ว

ตุรกีรายงานยอดผู้เสียชีวิตล่าสุด 24,617 ราย ในขณะที่ในซีเรียมีผู้เสียชีวิตแล้วอย่างน้อย 3,553 ราย

ทำให้ยอดผู้เสียชีวิตในแผ่นดินไหวครั้งนี้อยู่ที่  28,170 ราย และหลายฝ่ายคาดว่า ยอดผู้เสียชีวิตจะยังคงเพิ่มสูงขึ้นเรื่อย ๆ https://t.co/hNWuxq2fDz"
2023-02-11 03:44:49,Thailand,"ผู้เสียชีวิตในเหตุแผ่นดินไหวตุรกี - ซีเรีย เกือบ 24,000 รายแล้ว

จากเหตุแผ่นดินไหวขนาด 7.8 เมื่อวันที่ 6 ก.พ.ที่ผ่านมา ยอดล่าสุดมีผู้เสียชีวิตแล้วเกือบ 24,000 ราย 

โดยทางการตุรกีระบุว่า มีผู้เสียชีวิตแล้วอย่างน้อย 23,766 ราย ในขณะที่ยอดผู้เสียชีวิตในซีเรียอย่างน้อย 3,553 ราย https://t.co/1utvyT0EOi"
2023-02-11 12:45:00,"Bangkok, Thailand","เพจดัง เผยถึง “โทแบค” หมากู้ภัยจากเกาหลีใต้  สายพันธุ์ลาบราดอร์รีทรีฟเวอร์วัย 6 ปี

‘ช่วยปฏิบัติภารกิจเหตุแผ่นดินไหวตุรกี-ซีเรีย’ 

“แม้อุ้งเท้าหน้าขวาบาดเจ็บจากการเหยียบของมีคม แต่ยังคงทำงานต่อไป”

จนหลายคนเป็นห่วงว่า “ควรมีอุปกรณ์เซฟตี้ให้น้องๆ ด้วย” 

https://t.co/DmIxCz2iRw https://t.co/N4YXc1PbmV"
2023-02-12 10:55:01,"Brooklyn, NY","@WIlL_GH6 ""ค่ะ..""

เมื่อคุณบินมาแอลเอผิดช่วงจะเจอกับเหตุแผ่นดินไหว..สงสัยว่าทริปนี้โชคจะไม่เข้าข้างเธอนัก

สายตาของเธอค่อยๆมองไปตามนิ้วของเขาช้าๆ รู้สึกหัวหนักจากบาดแผลที่เกิดขึ้น...ได้นอนจมอยู่ในโรงแรมแน่ๆ"
2023-02-12 10:55:01,"Brooklyn, NY","@WIlL_GH6 ""ค่ะ..""

เมื่อคุณบินมาแอลเอผิดช่วงจะเจอกับเหตุแผ่นดินไหว..สงสัยว่าทริปนี้โชคจะไม่เข้าข้างเธอนัก

สายตาของเธอค่อยๆมองไปตามนิ้วของเขาช้าๆ รู้สึกหัวหนักจากบาดแผลที่เกิดขึ้น...ได้นอนจมอยู่ในโรงแรมแน่ๆ"
2023-02-12 08:20:54,,ระวังกันด้วยทีมกู้ภัย✌🏻! #แผ่นดินไหว #earthquake
2023-02-12 08:20:54,,ระวังกันด้วยทีมกู้ภัย✌🏻! #แผ่นดินไหว #earthquake
2023-02-12 00:37:12,,เห็นสัตว์ที่ติดในซากแผ่นดินไหวแล้วจะร้องไห้
2023-02-12 00:37:12,,เห็นสัตว์ที่ติดในซากแผ่นดินไหวแล้วจะร้องไห้
