Address,Lat,Lon
"DKI Jakarta, Indonesia",-6.1753942,106.827183
"DKI Jakarta, Indonesia",-6.1753942,106.827183
"DKI Jakarta, Indonesia",-6.1753942,106.827183
"DKI Jakarta, Indonesia",-6.1753942,106.827183
EXOPLANET✨,50.979978,11.7112262
Republic of Korea,36.638392,127.6961188
614,66.1092595,28.1650783
EXOPLANET✨,50.979978,11.7112262
Republic of Korea,36.638392,127.6961188
614,66.1092595,28.1650783
Republic of the Philippines,12.7503486,122.7312101
Republic of the Philippines,12.7503486,122.7312101
EXO,40.3972334,-3.7719493
exoplanet,50.979978,11.7112262
EXO,40.3972334,-3.7719493
exoplanet,50.979978,11.7112262
exoplanet,50.979978,11.7112262
exoplanet,50.979978,11.7112262
