Address,Lat,Lon
United States,39.7837304,-100.445882
Spain,39.3260685,-4.8379791
Indonesia,-2.4833826,117.8902853
"Arkansas, USA",35.2048883,-92.4479108
"Melbourne, Australia",-37.8142176,144.9631608
London ^_^,51.5073359,-0.12765
"Middlesex,NY",42.7050087,-77.2716597
Seattle,47.6038321,-122.330062
"Nantwich, England",53.0671376,-2.5221184
"Whittier, CA",33.9708782,-118.030839
18+,47.024882399999996,2.5753333606655704
Romania,45.9852129,24.6859225
Indonesia,-2.4833826,117.8902853
"Newark, CA",37.5296593,-122.0402399
SP,44.23836595,9.691232634547537
Indonesia,-2.4833826,117.8902853
"Melbourne, Australia",-37.8142176,144.9631608
Indonesia,-2.4833826,117.8902853
The Moon,33.1584497,-86.2385846
The Moon,33.1584497,-86.2385846
United States,39.7837304,-100.445882
Spain,39.3260685,-4.8379791
Indonesia,-2.4833826,117.8902853
"Arkansas, USA",35.2048883,-92.4479108
"Melbourne, Australia",-37.8142176,144.9631608
London ^_^,51.5073359,-0.12765
"Middlesex,NY",42.7050087,-77.2716597
Seattle,47.6038321,-122.330062
"Nantwich, England",53.0671376,-2.5221184
"Whittier, CA",33.9708782,-118.030839
18+,47.024882399999996,2.5753333606655704
Romania,45.9852129,24.6859225
Indonesia,-2.4833826,117.8902853
"Newark, CA",37.5296593,-122.0402399
SP,44.23836595,9.691232634547537
Indonesia,-2.4833826,117.8902853
"Melbourne, Australia",-37.8142176,144.9631608
Indonesia,-2.4833826,117.8902853
The Moon,33.1584497,-86.2385846
The Moon,33.1584497,-86.2385846
"Norwich, CT",41.5243537,-72.0759008
Iraq,33.0955793,44.1749775
Romania,45.9852129,24.6859225
London,51.5073359,-0.12765
Romania,45.9852129,24.6859225
"Campbell, CA",37.2870626,-121.9448818
"Arkansas, USA",35.2048883,-92.4479108
Romania,45.9852129,24.6859225
London,51.5073359,-0.12765
Romania,45.9852129,24.6859225
"Auvergne, France",45.71001315,3.1531802964975517
Val-de-marne,48.774489349999996,2.4543321444588204
"Norwich, CT",41.5243537,-72.0759008
Iraq,33.0955793,44.1749775
Romania,45.9852129,24.6859225
London,51.5073359,-0.12765
Romania,45.9852129,24.6859225
"Campbell, CA",37.2870626,-121.9448818
"Arkansas, USA",35.2048883,-92.4479108
Romania,45.9852129,24.6859225
London,51.5073359,-0.12765
Romania,45.9852129,24.6859225
"Auvergne, France",45.71001315,3.1531802964975517
Val-de-marne,48.774489349999996,2.4543321444588204
"New York, NY",40.7127281,-74.0060152
United States,39.7837304,-100.445882
"New York, NY",40.7127281,-74.0060152
United States,39.7837304,-100.445882
"Norwich, CT",41.5243537,-72.0759008
"San Diego, CA",32.7174202,-117.1627728
"Newark, CA",37.5296593,-122.0402399
"Buenos Aires, Argentina",-34.6075682,-58.4370894
France,46.603354,1.8883335
Romania,45.9852129,24.6859225
日本 (Japan),36.5748441,139.2394179
"New York, NY",40.7127281,-74.0060152
Indonesia,-2.4833826,117.8902853
United States,39.7837304,-100.445882
Spain,39.3260685,-4.8379791
Indonesia,-2.4833826,117.8902853
"Arkansas, USA",35.2048883,-92.4479108
"Melbourne, Australia",-37.8142176,144.9631608
"Norwich, CT",41.5243537,-72.0759008
"San Diego, CA",32.7174202,-117.1627728
"Newark, CA",37.5296593,-122.0402399
"Buenos Aires, Argentina",-34.6075682,-58.4370894
France,46.603354,1.8883335
Romania,45.9852129,24.6859225
日本 (Japan),36.5748441,139.2394179
"New York, NY",40.7127281,-74.0060152
Indonesia,-2.4833826,117.8902853
United States,39.7837304,-100.445882
Spain,39.3260685,-4.8379791
Indonesia,-2.4833826,117.8902853
"Arkansas, USA",35.2048883,-92.4479108
"Melbourne, Australia",-37.8142176,144.9631608
"Middlesex,NY",42.7050087,-77.2716597
Seattle,47.6038321,-122.330062
"Nantwich, England",53.0671376,-2.5221184
"Whittier, CA",33.9708782,-118.030839
18+,47.024882399999996,2.5753333606655704
Romania,45.9852129,24.6859225
Indonesia,-2.4833826,117.8902853
"Newark, CA",37.5296593,-122.0402399
SP,44.23836595,9.691232634547537
Indonesia,-2.4833826,117.8902853
"Melbourne, Australia",-37.8142176,144.9631608
Indonesia,-2.4833826,117.8902853
The Moon,33.1584497,-86.2385846
The Moon,33.1584497,-86.2385846
Depok,-6.40719,106.8158371
"Newark, CA",37.5296593,-122.0402399
Malaysia,4.5693754,102.2656823
"Norwich, CT",41.5243537,-72.0759008
Iraq,33.0955793,44.1749775
Romania,45.9852129,24.6859225
London,51.5073359,-0.12765
Romania,45.9852129,24.6859225
"Campbell, CA",37.2870626,-121.9448818
"Arkansas, USA",35.2048883,-92.4479108
"Middlesex,NY",42.7050087,-77.2716597
Seattle,47.6038321,-122.330062
"Nantwich, England",53.0671376,-2.5221184
"Whittier, CA",33.9708782,-118.030839
18+,47.024882399999996,2.5753333606655704
Romania,45.9852129,24.6859225
Indonesia,-2.4833826,117.8902853
