Address,Lat,Lon
Petaling Jaya,3.0991752,101.6450232
Petaling Jaya,3.0991752,101.6450232
Petaling Jaya,3.0991752,101.6450232
Petaling Jaya,3.0991752,101.6450232
Petaling Jaya,3.0991752,101.6450232
India,22.3511148,78.6677428
"California, USA",36.7014631,-118.755997
Miami Florida,25.7741728,-80.19362
"Denver, CO",39.7392364,-104.984862
"Cupertino, CA",37.3228934,-122.0322895
United States,39.7837304,-100.445882
Petaling Jaya,3.0991752,101.6450232
India,22.3511148,78.6677428
"California, USA",36.7014631,-118.755997
Miami Florida,25.7741728,-80.19362
"Denver, CO",39.7392364,-104.984862
"Cupertino, CA",37.3228934,-122.0322895
United States,39.7837304,-100.445882
"Sao Paulo, Brazil",-23.5506507,-46.6333824
India,22.3511148,78.6677428
UK,54.7023545,-3.2765753
"Brooklyn, NY",40.6526006,-73.9497211
"Dar es Salaam, Tanzania",-6.8160837,39.2803583
Deep South,38.0114581,-107.6658815
Ask Me,35.0400627,33.9881024
"Sao Paulo, Brazil",-23.5506507,-46.6333824
India,22.3511148,78.6677428
UK,54.7023545,-3.2765753
"Brooklyn, NY",40.6526006,-73.9497211
"Dar es Salaam, Tanzania",-6.8160837,39.2803583
Deep South,38.0114581,-107.6658815
Ask Me,35.0400627,33.9881024
Georgia ,32.3293809,-83.1137366
"Michigan, USA",43.6211955,-84.6824346
Portugal,39.6621648,-8.1353519
"Ridgefield, CT",41.2814842,-73.4981792
"Texas, USA",31.2638905,-98.5456116
"Accra, Ghana",5.5571096,-0.2012376
"Arizona, USA",34.395342,-111.763275
Derbyshire,53.1185033,-1.5566179305872214
Georgia ,32.3293809,-83.1137366
"Michigan, USA",43.6211955,-84.6824346
Portugal,39.6621648,-8.1353519
"Ridgefield, CT",41.2814842,-73.4981792
"Texas, USA",31.2638905,-98.5456116
"Accra, Ghana",5.5571096,-0.2012376
"Arizona, USA",34.395342,-111.763275
Derbyshire,53.1185033,-1.5566179305872214
"-3.74797,-38.498412",-3.7480593,-38.498447597700874
"Ticino, Switzerland",46.3351913,8.7525902
"Nashville, Tennessee ",36.1622767,-86.7742984
"Los Angeles, CA ",34.0536909,-118.242766
Borla,47.2800415,22.9394922
"Greenfield, IN",39.7855096,-85.7681979
